Material_Type,Tensile_Strength_MPa,Weight_Capacity_kg,Biodegradability_Score,CO2_Emission_Score,Recyclability_Percent,Moisture_Barrier_Grade,AI_Recommendation,Cost_Per_Package
Mushroom Mycelium,20.7,2.4,100.0,0.35,100.0,5,Highly Recommended,90.4
Recycled Cardboard,33.0,9.4,96.8,1.3,89.0,4,Highly Recommended,180.0
Bagasse (Sugarcane),22.6,6.1,95.7,1.17,50.9,7,Highly Recommended,141.2
Bagasse (Sugarcane),23.3,0.7,98.8,0.96,66.7,6,Highly Recommended,83.6
Virgin Plastic (PP),78.4,1.1,1.6,3.94,19.2,10,Avoid,217.8
Bioplastic (PLA),51.4,3.3,90.8,1.75,46.2,8,Highly Recommended,175.8
Bamboo Fiber,42.1,1.2,97.6,0.59,43.6,6,Highly Recommended,126.2
Edible Seaweed Film,12.7,3.9,100.0,0.21,0.4,4,Consider as Option,84.4
Mushroom Mycelium,19.1,3.9,100.0,0.36,100.0,4,Highly Recommended,97.2
Mushroom Mycelium,21.8,7.5,100.0,0.27,100.0,6,Highly Recommended,148.6
Virgin Plastic (PP),60.0,2.1,0.5,5.55,23.9,10,Avoid,191.0
Recycled Cardboard,15.2,2.5,90.5,1.21,96.9,3,Highly Recommended,70.4
Recycled Cardboard,33.0,8.5,91.9,1.38,98.1,4,Highly Recommended,171.0
Aluminum Foil,29.7,1.2,0.0,10.87,91.7,10,Avoid,121.4
Recycled Cardboard,28.6,6.9,92.7,1.21,83.2,3,Highly Recommended,141.2
Edible Seaweed Film,14.1,7.8,100.0,0.33,9.9,4,Consider as Option,126.2
Edible Seaweed Film,13.8,9.4,100.0,0.48,8.5,4,Consider as Option,141.6
Bagasse (Sugarcane),23.3,7.8,98.0,0.94,60.7,6,Highly Recommended,154.6
Mushroom Mycelium,17.7,1.5,100.0,0.13,100.0,6,Highly Recommended,80.4
Mushroom Mycelium,11.0,7.2,100.0,0.2,100.0,5,Highly Recommended,119.0
Bagasse (Sugarcane),25.4,5.0,99.7,1.28,53.5,7,Highly Recommended,135.8
Mushroom Mycelium,18.4,9.9,100.0,0.23,100.0,5,Highly Recommended,160.8
Aluminum Foil,30.8,4.9,0.0,9.28,98.6,10,Avoid,160.6
Virgin Plastic (PP),72.9,8.3,1.4,5.86,16.6,10,Avoid,278.8
Virgin Plastic (PP),60.0,5.1,3.5,3.58,24.4,10,Avoid,221.0
Aluminum Foil,24.3,1.6,0.0,8.9,99.7,10,Avoid,114.6
Virgin Plastic (PP),61.3,6.0,2.7,4.85,29.8,10,Avoid,232.6
Bagasse (Sugarcane),30.0,3.8,99.7,1.37,66.6,7,Highly Recommended,133.0
Bagasse (Sugarcane),27.7,2.0,96.8,1.34,52.1,7,Highly Recommended,110.4
Mushroom Mycelium,12.9,9.8,100.0,0.16,100.0,6,Highly Recommended,153.8
Edible Seaweed Film,11.2,6.0,100.0,0.45,8.8,3,Consider as Option,97.4
Mushroom Mycelium,15.7,2.3,100.0,0.13,100.0,6,Highly Recommended,84.4
Bamboo Fiber,51.4,8.1,95.0,0.64,45.5,6,Highly Recommended,213.8
Aluminum Foil,20.9,1.8,0.0,9.23,91.6,10,Avoid,109.8
Bioplastic (PLA),74.8,9.1,91.4,2.49,47.6,8,Consider as Option,280.6
Virgin Plastic (PP),61.7,9.9,1.0,3.7,24.4,10,Avoid,272.4
Virgin Plastic (PP),86.7,8.1,2.9,4.05,12.6,10,Avoid,304.4
Edible Seaweed Film,12.4,6.2,100.0,0.26,6.2,2,Consider as Option,96.8
Recycled Cardboard,28.2,2.9,92.7,1.46,81.7,4,Highly Recommended,105.4
Virgin Plastic (PP),86.9,4.7,0.9,4.81,16.4,10,Avoid,270.8
Bagasse (Sugarcane),26.3,6.5,98.5,1.21,53.7,5,Highly Recommended,142.6
Mushroom Mycelium,23.2,5.7,100.0,0.27,100.0,4,Highly Recommended,123.4
Bagasse (Sugarcane),23.2,3.3,96.6,0.96,59.7,6,Highly Recommended,109.4
Edible Seaweed Film,10.6,6.9,100.0,0.47,6.6,3,Consider as Option,105.2
Mushroom Mycelium,25.0,4.3,100.0,0.25,100.0,6,Highly Recommended,123.0
Bamboo Fiber,44.6,8.3,96.8,1.12,44.4,6,Highly Recommended,202.2
Edible Seaweed Film,8.2,3.7,100.0,0.32,1.5,3,Consider as Option,68.4
Aluminum Foil,27.6,2.2,0.0,8.29,97.0,10,Avoid,127.2
Aluminum Foil,42.1,9.9,0.0,11.68,92.9,10,Avoid,233.2
Bagasse (Sugarcane),38.1,1.8,96.4,1.35,55.7,5,Highly Recommended,119.2
Edible Seaweed Film,8.7,3.5,100.0,0.23,9.3,2,Consider as Option,62.4
Virgin Plastic (PP),65.3,2.3,1.3,4.89,27.0,10,Avoid,203.6
Mushroom Mycelium,16.6,5.5,100.0,0.11,100.0,5,Highly Recommended,113.2
Aluminum Foil,29.0,6.8,0.0,11.44,93.5,10,Avoid,176.0
Bagasse (Sugarcane),23.3,3.6,95.4,1.3,52.1,5,Highly Recommended,107.6
Bioplastic (PLA),63.0,6.2,88.8,2.24,55.0,8,Highly Recommended,228.0
Bagasse (Sugarcane),38.3,3.0,97.8,1.34,61.6,6,Highly Recommended,136.6
Aluminum Foil,26.6,9.6,0.0,9.1,92.3,10,Avoid,199.2
Aluminum Foil,32.0,3.5,0.0,11.09,90.1,10,Avoid,149.0
Bioplastic (PLA),53.4,7.0,82.6,2.08,54.1,8,Consider as Option,216.8
Aluminum Foil,21.4,9.9,0.0,11.71,93.1,10,Avoid,191.8
Bagasse (Sugarcane),32.9,7.9,97.8,0.98,52.5,7,Highly Recommended,179.8
Aluminum Foil,30.5,1.0,0.0,10.64,94.3,10,Avoid,121.0
Bioplastic (PLA),54.8,2.7,91.4,1.86,50.9,9,Highly Recommended,181.6
Aluminum Foil,37.1,6.7,0.0,8.77,95.6,10,Avoid,191.2
Mushroom Mycelium,21.7,8.0,100.0,0.21,100.0,4,Highly Recommended,143.4
Bagasse (Sugarcane),27.4,9.8,97.5,1.36,60.4,6,Highly Recommended,182.8
Bioplastic (PLA),63.7,5.1,87.7,1.53,48.2,8,Highly Recommended,218.4
Recycled Cardboard,19.1,2.3,94.8,1.44,100.0,3,Highly Recommended,76.2
Mushroom Mycelium,18.8,6.0,100.0,0.19,100.0,4,Highly Recommended,117.6
Edible Seaweed Film,9.3,1.7,100.0,0.57,6.8,3,Consider as Option,50.6
Bioplastic (PLA),65.1,7.5,93.8,2.07,58.5,8,Highly Recommended,245.2
Bioplastic (PLA),54.0,5.0,86.0,2.29,49.6,9,Highly Recommended,203.0
Bagasse (Sugarcane),39.5,3.7,98.1,1.18,50.2,7,Highly Recommended,151.0
Bioplastic (PLA),70.0,10.0,89.2,1.56,57.4,9,Highly Recommended,285.0
Edible Seaweed Film,7.4,4.6,100.0,0.58,5.8,3,Consider as Option,75.8
Edible Seaweed Film,8.2,6.9,100.0,0.28,5.6,2,Consider as Option,95.4
Recycled Cardboard,15.6,7.1,99.4,0.81,88.5,3,Highly Recommended,117.2
Bamboo Fiber,54.4,7.2,99.7,1.03,47.1,6,Highly Recommended,210.8
Mushroom Mycelium,19.8,4.6,100.0,0.31,100.0,4,Highly Recommended,105.6
Edible Seaweed Film,11.1,6.2,100.0,0.57,5.8,4,Consider as Option,104.2
Bagasse (Sugarcane),25.0,2.1,98.4,1.33,61.7,5,Highly Recommended,96.0
Edible Seaweed Film,11.8,6.3,100.0,0.29,9.7,2,Consider as Option,96.6
Bagasse (Sugarcane),39.0,2.9,99.5,1.16,56.0,5,Highly Recommended,132.0
Recycled Cardboard,30.0,7.1,98.3,0.92,84.2,4,Highly Recommended,151.0
Aluminum Foil,44.6,1.3,0.0,10.97,99.6,10,Avoid,152.2
Bagasse (Sugarcane),40.0,8.7,96.0,1.11,65.1,6,Highly Recommended,197.0
Aluminum Foil,21.4,8.1,0.0,9.38,97.6,10,Avoid,173.8
Bioplastic (PLA),73.8,6.0,81.4,2.36,46.4,9,Consider as Option,252.6
Bagasse (Sugarcane),39.0,9.8,97.7,1.4,52.8,5,Highly Recommended,201.0
Aluminum Foil,27.7,0.6,0.0,9.1,93.8,10,Avoid,111.4
Bagasse (Sugarcane),29.5,8.6,98.8,1.07,57.0,7,Highly Recommended,180.0
Aluminum Foil,39.8,3.1,0.0,8.34,95.4,10,Avoid,160.6
Edible Seaweed Film,5.5,9.2,100.0,0.31,3.0,2,Consider as Option,113.0
Virgin Plastic (PP),76.0,3.2,2.4,5.41,20.9,10,Avoid,234.0
Aluminum Foil,35.8,2.9,0.0,11.74,99.6,10,Avoid,150.6
Virgin Plastic (PP),87.3,1.7,0.9,5.31,25.0,10,Avoid,241.6
Recycled Cardboard,25.0,8.8,95.4,1.43,90.3,5,Highly Recommended,163.0
Mushroom Mycelium,20.5,3.3,100.0,0.35,100.0,5,Highly Recommended,99.0
Aluminum Foil,43.3,2.5,0.0,9.83,93.3,10,Avoid,161.6
Bagasse (Sugarcane),26.3,9.8,95.1,1.06,61.9,6,Highly Recommended,180.6
Bagasse (Sugarcane),27.7,6.2,99.9,1.36,67.5,6,Highly Recommended,147.4
Mushroom Mycelium,23.0,7.8,100.0,0.3,100.0,6,Highly Recommended,154.0
Mushroom Mycelium,14.3,2.3,100.0,0.23,100.0,6,Highly Recommended,81.6
Virgin Plastic (PP),62.5,1.1,3.5,5.87,26.1,10,Avoid,186.0
Virgin Plastic (PP),81.3,2.5,3.6,5.74,23.3,10,Avoid,237.6
Bagasse (Sugarcane),20.2,8.0,99.0,1.29,62.2,5,Highly Recommended,145.4
Mushroom Mycelium,18.2,1.6,100.0,0.37,100.0,5,Highly Recommended,77.4
Recycled Cardboard,32.2,6.1,98.1,1.31,98.7,4,Highly Recommended,145.4
Edible Seaweed Film,13.9,9.3,100.0,0.45,6.6,3,Consider as Option,135.8
Recycled Cardboard,27.3,9.2,91.5,1.25,92.7,4,Highly Recommended,166.6
Bamboo Fiber,57.3,2.5,98.5,0.86,44.9,7,Highly Recommended,174.6
Recycled Cardboard,21.2,9.0,93.7,1.03,89.0,4,Highly Recommended,152.4
Edible Seaweed Film,5.1,3.4,100.0,0.46,8.1,3,Consider as Option,59.2
Edible Seaweed Film,14.3,1.7,100.0,0.48,4.3,2,Consider as Option,55.6
Mushroom Mycelium,23.6,1.7,100.0,0.27,100.0,5,Highly Recommended,89.2
Recycled Cardboard,33.4,1.2,99.9,1.2,89.7,5,Highly Recommended,103.8
Recycled Cardboard,25.3,4.0,93.9,1.22,89.8,3,Highly Recommended,105.6
Aluminum Foil,36.9,2.9,0.0,9.6,95.8,10,Avoid,152.8
Virgin Plastic (PP),71.9,3.7,3.1,4.23,20.8,10,Avoid,230.8
Recycled Cardboard,15.9,3.2,97.5,1.46,90.6,5,Highly Recommended,88.8
Bioplastic (PLA),62.6,6.1,86.3,2.04,59.3,9,Highly Recommended,231.2
Bamboo Fiber,59.9,4.6,99.5,0.96,31.2,7,Highly Recommended,200.8
Edible Seaweed Film,5.7,2.5,100.0,0.41,1.2,2,Consider as Option,46.4
Edible Seaweed Film,13.9,5.9,100.0,0.34,2.2,4,Consider as Option,106.8
Mushroom Mycelium,24.4,5.7,100.0,0.21,100.0,6,Highly Recommended,135.8
Aluminum Foil,29.2,3.9,0.0,11.64,95.9,10,Avoid,147.4
Bioplastic (PLA),70.0,5.6,93.0,1.51,45.3,9,Highly Recommended,241.0
Virgin Plastic (PP),72.3,3.3,2.9,5.13,19.3,10,Avoid,227.6
Edible Seaweed Film,8.0,9.3,100.0,0.35,8.5,3,Consider as Option,124.0
Recycled Cardboard,30.3,2.3,96.2,0.95,87.0,5,Highly Recommended,108.6
Bagasse (Sugarcane),31.5,3.6,97.4,1.35,60.1,7,Highly Recommended,134.0
Edible Seaweed Film,11.8,2.8,100.0,0.5,3.9,2,Consider as Option,61.6
Recycled Cardboard,19.5,7.0,93.4,1.36,98.2,3,Highly Recommended,124.0
Recycled Cardboard,16.2,8.6,96.1,1.11,94.3,4,Highly Recommended,138.4
Recycled Cardboard,24.0,6.0,90.5,1.29,81.1,5,Highly Recommended,133.0
Recycled Cardboard,29.3,3.6,95.3,1.33,83.7,5,Highly Recommended,119.6
Recycled Cardboard,29.3,9.4,95.0,1.47,85.0,5,Highly Recommended,177.6
Edible Seaweed Film,9.0,4.5,100.0,0.57,7.5,2,Consider as Option,73.0
Virgin Plastic (PP),87.1,5.4,1.3,4.72,23.3,10,Avoid,278.2
Mushroom Mycelium,18.9,1.8,100.0,0.21,100.0,4,Highly Recommended,75.8
Bamboo Fiber,51.0,8.5,99.1,0.74,38.1,7,Highly Recommended,222.0
Mushroom Mycelium,18.8,2.2,100.0,0.39,100.0,6,Highly Recommended,89.6
Bagasse (Sugarcane),22.6,3.1,97.3,0.96,57.3,5,Highly Recommended,101.2
Bioplastic (PLA),54.7,4.6,91.7,1.73,55.0,9,Highly Recommended,200.4
Mushroom Mycelium,21.2,4.2,100.0,0.16,100.0,4,Highly Recommended,104.4
Virgin Plastic (PP),69.4,5.7,4.0,5.06,29.5,10,Avoid,245.8
Bamboo Fiber,45.7,1.2,99.2,0.55,47.3,7,Highly Recommended,138.4
Bioplastic (PLA),67.1,4.6,85.9,1.9,53.5,8,Highly Recommended,220.2
Bamboo Fiber,50.5,9.0,96.9,0.66,46.0,8,Highly Recommended,231.0
Aluminum Foil,30.5,5.1,0.0,9.94,93.6,10,Avoid,162.0
Aluminum Foil,20.3,6.8,0.0,8.34,90.0,10,Avoid,158.6
Virgin Plastic (PP),70.5,6.8,4.7,3.83,18.5,10,Avoid,259.0
Aluminum Foil,37.0,5.0,0.0,8.86,92.2,10,Avoid,174.0
Recycled Cardboard,34.4,1.1,97.6,1.48,88.3,3,Highly Recommended,94.8
Bioplastic (PLA),64.3,3.2,82.7,2.18,50.6,9,Highly Recommended,205.6
Recycled Cardboard,30.4,0.7,90.6,0.87,89.1,3,Highly Recommended,82.8
Mushroom Mycelium,17.5,2.3,100.0,0.24,100.0,4,Highly Recommended,78.0
Aluminum Foil,29.8,0.6,0.0,8.2,95.1,10,Avoid,115.6
Edible Seaweed Film,14.5,3.8,100.0,0.38,5.6,2,Consider as Option,77.0
Virgin Plastic (PP),72.5,6.9,4.8,4.19,15.0,10,Avoid,264.0
Recycled Cardboard,30.9,7.6,99.2,0.97,85.8,4,Highly Recommended,157.8
Bagasse (Sugarcane),37.0,8.5,97.4,1.22,59.0,7,Highly Recommended,194.0
Bamboo Fiber,54.7,1.8,98.8,0.74,33.7,8,Highly Recommended,167.4
Bamboo Fiber,57.6,8.5,99.0,1.01,36.5,8,Highly Recommended,240.2
Bamboo Fiber,46.5,6.1,98.1,0.6,43.2,7,Highly Recommended,189.0
Bamboo Fiber,51.4,2.8,96.2,0.63,34.5,7,Highly Recommended,165.8
Bamboo Fiber,52.1,2.0,95.0,1.19,41.2,8,Highly Recommended,164.2
Mushroom Mycelium,23.1,5.1,100.0,0.13,100.0,4,Highly Recommended,117.2
Bioplastic (PLA),63.6,0.8,85.1,2.24,59.7,8,Highly Recommended,175.2
Edible Seaweed Film,10.8,7.8,100.0,0.54,3.1,4,Consider as Option,119.6
Recycled Cardboard,17.7,8.7,95.7,0.86,91.4,3,Highly Recommended,137.4
Bioplastic (PLA),61.7,6.6,87.2,2.44,41.6,9,Consider as Option,234.4
Bioplastic (PLA),67.9,3.2,81.5,1.7,56.3,8,Highly Recommended,207.8
Recycled Cardboard,21.1,3.5,95.5,1.14,89.7,4,Highly Recommended,97.2
Aluminum Foil,43.8,2.4,0.0,8.8,95.2,10,Avoid,161.6
Virgin Plastic (PP),77.5,2.6,0.2,4.97,22.8,10,Avoid,231.0
Edible Seaweed Film,8.9,2.8,100.0,0.28,9.8,4,Consider as Option,65.8
Mushroom Mycelium,19.3,2.6,100.0,0.27,100.0,6,Highly Recommended,94.6
Bagasse (Sugarcane),24.9,7.4,97.5,1.18,59.5,7,Highly Recommended,158.8
Bioplastic (PLA),50.6,5.5,81.2,1.68,48.8,9,Highly Recommended,201.2
Recycled Cardboard,34.9,5.2,99.2,0.9,83.4,4,Highly Recommended,141.8
Bamboo Fiber,42.4,5.0,96.4,0.67,39.8,8,Highly Recommended,174.8
Virgin Plastic (PP),82.1,3.9,1.4,5.94,20.5,10,Avoid,253.2
Aluminum Foil,37.2,1.9,0.0,8.84,98.5,10,Avoid,143.4
Bagasse (Sugarcane),24.1,2.6,95.3,1.27,53.4,7,Highly Recommended,109.2
Aluminum Foil,40.6,3.6,0.0,8.62,95.5,10,Avoid,167.2
Edible Seaweed Film,14.5,8.9,100.0,0.59,9.8,3,Consider as Option,133.0
Aluminum Foil,33.8,3.1,0.0,10.98,94.7,10,Avoid,148.6
Mushroom Mycelium,24.5,1.2,100.0,0.27,100.0,6,Highly Recommended,91.0
Edible Seaweed Film,10.3,3.5,100.0,0.45,7.8,2,Consider as Option,65.6
Recycled Cardboard,15.3,9.8,99.9,1.05,96.8,4,Highly Recommended,148.6
Mushroom Mycelium,17.8,9.7,100.0,0.19,100.0,4,Highly Recommended,152.6
Virgin Plastic (PP),78.5,3.5,3.6,5.87,21.2,10,Avoid,242.0
Aluminum Foil,30.8,5.1,0.0,11.93,98.9,10,Avoid,162.6
Edible Seaweed Film,8.4,2.8,100.0,0.22,1.2,2,Consider as Option,54.8
Recycled Cardboard,17.7,8.2,99.8,1.15,96.3,3,Highly Recommended,132.4
Bioplastic (PLA),61.1,9.9,89.9,2.08,52.3,8,Highly Recommended,261.2
Recycled Cardboard,34.0,5.4,96.8,1.23,85.8,4,Highly Recommended,142.0
Edible Seaweed Film,9.6,2.8,100.0,0.48,6.5,4,Consider as Option,67.2
Virgin Plastic (PP),82.8,1.3,1.0,5.53,15.7,10,Avoid,228.6
Bagasse (Sugarcane),26.3,6.3,99.0,0.92,51.7,5,Highly Recommended,140.6
Recycled Cardboard,20.3,4.1,91.6,0.99,97.1,3,Highly Recommended,96.6
Edible Seaweed Film,14.9,2.1,100.0,0.48,0.4,2,Consider as Option,60.8
Bagasse (Sugarcane),36.7,7.5,96.1,0.92,60.6,6,Highly Recommended,178.4
Bioplastic (PLA),74.5,7.2,84.0,2.31,55.6,9,Highly Recommended,266.0
Recycled Cardboard,32.9,9.5,92.1,1.38,98.3,3,Highly Recommended,175.8
Recycled Cardboard,19.9,1.9,92.8,0.9,81.6,5,Highly Recommended,83.8
Recycled Cardboard,21.7,8.1,93.3,0.84,96.9,4,Highly Recommended,144.4
Virgin Plastic (PP),67.6,0.8,1.5,3.52,15.3,10,Avoid,193.2
Recycled Cardboard,17.5,5.1,99.0,1.47,98.3,3,Highly Recommended,101.0
Mushroom Mycelium,12.9,5.0,100.0,0.24,100.0,5,Highly Recommended,100.8
Virgin Plastic (PP),80.9,5.0,0.4,5.57,12.4,10,Avoid,261.8
Bagasse (Sugarcane),21.7,2.9,98.9,1.01,58.5,7,Highly Recommended,107.4
Bamboo Fiber,40.8,3.2,99.5,0.9,30.2,6,Highly Recommended,143.6
Bamboo Fiber,47.7,5.5,98.9,0.61,31.7,6,Highly Recommended,180.4
Edible Seaweed Film,14.4,9.2,100.0,0.6,1.0,3,Consider as Option,135.8
Recycled Cardboard,15.3,7.5,95.6,1.21,83.3,5,Highly Recommended,130.6
Edible Seaweed Film,8.4,6.6,100.0,0.2,8.3,2,Consider as Option,92.8
Virgin Plastic (PP),72.3,5.3,0.4,4.85,12.6,10,Avoid,247.6
Virgin Plastic (PP),72.9,4.4,0.3,4.51,15.5,10,Avoid,239.8
Virgin Plastic (PP),67.0,8.7,4.2,5.07,10.7,10,Avoid,271.0
Bioplastic (PLA),73.0,1.5,92.2,2.31,57.3,8,Highly Recommended,201.0
Virgin Plastic (PP),69.6,5.7,1.8,5.21,14.6,10,Avoid,246.2
Mushroom Mycelium,13.4,5.4,100.0,0.3,100.0,4,Highly Recommended,100.8
Virgin Plastic (PP),63.6,4.6,2.3,5.88,12.4,10,Avoid,223.2
Bagasse (Sugarcane),27.6,9.5,95.1,1.18,65.1,6,Highly Recommended,180.2
Mushroom Mycelium,11.5,6.2,100.0,0.3,100.0,6,Highly Recommended,115.0
Bagasse (Sugarcane),29.8,8.4,97.9,1.01,52.7,6,Highly Recommended,173.6
Virgin Plastic (PP),64.4,2.4,1.9,4.87,22.2,10,Avoid,202.8
Mushroom Mycelium,24.4,9.5,100.0,0.18,100.0,4,Highly Recommended,163.8
Bioplastic (PLA),59.5,9.1,88.2,2.43,50.7,8,Consider as Option,250.0
Edible Seaweed Film,12.4,9.6,100.0,0.4,1.8,4,Consider as Option,140.8
Bamboo Fiber,45.6,3.1,98.6,1.05,41.3,6,Highly Recommended,152.2
Recycled Cardboard,18.1,7.0,99.0,1.16,87.2,5,Highly Recommended,131.2
Bioplastic (PLA),74.2,4.5,88.9,1.54,54.2,9,Highly Recommended,238.4
Recycled Cardboard,28.4,1.2,91.1,1.12,94.0,5,Highly Recommended,93.8
Bamboo Fiber,53.7,1.2,99.1,0.64,49.7,8,Highly Recommended,159.4
Bamboo Fiber,43.1,4.2,99.6,0.52,38.2,7,Highly Recommended,163.2
Edible Seaweed Film,12.4,4.0,100.0,0.27,7.3,2,Consider as Option,74.8
Edible Seaweed Film,10.6,4.8,100.0,0.33,4.7,2,Consider as Option,79.2
Edible Seaweed Film,5.2,6.0,100.0,0.6,3.8,3,Consider as Option,85.4
Mushroom Mycelium,18.6,5.1,100.0,0.34,100.0,5,Highly Recommended,113.2
Bioplastic (PLA),51.5,6.0,89.2,2.47,55.1,8,Highly Recommended,203.0
Virgin Plastic (PP),60.1,1.9,3.1,3.86,14.9,10,Avoid,189.2
Virgin Plastic (PP),73.3,4.2,1.2,3.75,20.1,10,Avoid,238.6
Aluminum Foil,21.8,8.9,0.0,10.62,98.9,10,Avoid,182.6
Aluminum Foil,30.5,5.0,0.0,9.22,91.3,10,Avoid,161.0
Bioplastic (PLA),66.6,9.4,85.0,2.36,48.0,8,Consider as Option,267.2
Bioplastic (PLA),70.9,7.1,85.6,1.64,55.2,9,Highly Recommended,257.8
Recycled Cardboard,15.6,7.4,94.4,1.16,81.5,5,Highly Recommended,130.2
Bagasse (Sugarcane),35.0,4.1,98.1,1.31,62.3,7,Highly Recommended,146.0
Aluminum Foil,30.0,6.5,0.0,11.55,94.1,10,Avoid,175.0
Aluminum Foil,42.8,7.8,0.0,9.66,99.3,10,Avoid,213.6
Edible Seaweed Film,8.8,1.0,100.0,0.25,1.2,3,Consider as Option,42.6
Recycled Cardboard,19.3,1.9,97.7,0.9,85.7,5,Highly Recommended,82.6
Edible Seaweed Film,11.3,7.3,100.0,0.25,7.5,3,Consider as Option,110.6
Mushroom Mycelium,21.4,7.5,100.0,0.26,100.0,4,Highly Recommended,137.8
Bagasse (Sugarcane),24.5,2.9,96.6,1.12,62.6,6,Highly Recommended,108.0
Bagasse (Sugarcane),28.1,3.7,95.7,0.95,54.8,5,Highly Recommended,118.2
Mushroom Mycelium,13.4,8.0,100.0,0.22,100.0,6,Highly Recommended,136.8
Bagasse (Sugarcane),35.9,6.1,95.3,1.39,62.6,5,Highly Recommended,157.8
Mushroom Mycelium,21.7,9.9,100.0,0.39,100.0,5,Highly Recommended,167.4
Virgin Plastic (PP),88.1,5.4,2.3,4.32,21.7,10,Avoid,280.2
Bamboo Fiber,58.3,9.6,99.2,1.11,36.5,6,Highly Recommended,242.6
Bamboo Fiber,48.6,8.6,95.2,0.64,41.4,7,Highly Recommended,218.2
Bamboo Fiber,41.6,7.7,98.8,1.12,34.9,7,Highly Recommended,195.2
Bamboo Fiber,48.9,8.0,99.8,0.8,41.1,8,Highly Recommended,217.8
Bagasse (Sugarcane),38.3,7.8,96.7,1.37,51.5,5,Highly Recommended,179.6
Bamboo Fiber,51.0,4.5,98.4,0.99,49.8,6,Highly Recommended,177.0
Virgin Plastic (PP),86.6,4.7,0.0,4.44,26.4,10,Avoid,270.2
Edible Seaweed Film,5.9,1.8,100.0,0.38,4.2,4,Consider as Option,49.8
Bioplastic (PLA),53.5,2.8,91.3,1.87,44.0,8,Highly Recommended,175.0
Aluminum Foil,33.5,5.9,0.0,10.73,95.0,10,Avoid,176.0
Bagasse (Sugarcane),30.3,6.3,95.9,1.23,51.6,5,Highly Recommended,148.6
Bamboo Fiber,48.3,0.6,95.3,1.08,48.0,7,Highly Recommended,137.6
Bagasse (Sugarcane),21.7,8.7,95.2,1.2,65.5,6,Highly Recommended,160.4
Mushroom Mycelium,18.5,2.9,100.0,0.18,100.0,4,Highly Recommended,86.0
Edible Seaweed Film,8.7,9.4,100.0,0.2,0.5,4,Consider as Option,131.4
Edible Seaweed Film,9.8,5.1,100.0,0.52,4.7,3,Consider as Option,85.6
Bamboo Fiber,47.5,5.2,99.1,1.11,32.8,7,Highly Recommended,182.0
Aluminum Foil,33.5,2.8,0.0,9.51,94.6,10,Avoid,145.0
Bamboo Fiber,41.1,6.7,98.9,0.69,44.9,6,Highly Recommended,179.2
Bagasse (Sugarcane),25.6,6.8,96.8,1.24,50.2,7,Highly Recommended,154.2
Edible Seaweed Film,11.0,5.1,100.0,0.47,7.9,3,Consider as Option,88.0
Recycled Cardboard,21.5,7.8,95.4,1.26,94.3,5,Highly Recommended,146.0
Mushroom Mycelium,21.3,5.0,100.0,0.2,100.0,6,Highly Recommended,122.6
Aluminum Foil,24.2,3.2,0.0,8.34,97.2,10,Avoid,130.4
Recycled Cardboard,18.0,4.3,99.7,1.18,99.9,3,Highly Recommended,94.0
Bagasse (Sugarcane),39.1,2.4,97.6,1.32,51.0,7,Highly Recommended,137.2
Bioplastic (PLA),53.1,6.1,94.2,2.35,51.5,8,Highly Recommended,207.2
Bagasse (Sugarcane),28.7,4.1,95.6,1.04,51.3,6,Highly Recommended,128.4
Bamboo Fiber,40.4,7.4,97.6,0.82,37.6,6,Highly Recommended,184.8
Edible Seaweed Film,12.3,4.8,100.0,0.29,8.7,4,Consider as Option,92.6
Bioplastic (PLA),72.9,5.5,83.9,2.09,50.5,9,Highly Recommended,245.8
Mushroom Mycelium,13.2,7.9,100.0,0.39,100.0,4,Highly Recommended,125.4
Virgin Plastic (PP),88.5,9.4,2.3,5.58,15.9,10,Avoid,321.0
Bagasse (Sugarcane),30.4,4.9,95.8,1.39,60.2,5,Highly Recommended,134.8
Bagasse (Sugarcane),33.5,5.8,96.8,1.16,56.6,6,Highly Recommended,155.0
Virgin Plastic (PP),80.0,5.9,1.2,3.78,22.3,10,Avoid,269.0
Edible Seaweed Film,7.3,0.8,100.0,0.37,1.0,2,Consider as Option,32.6
Bagasse (Sugarcane),20.1,3.5,95.1,1.06,54.1,5,Highly Recommended,100.2
Virgin Plastic (PP),64.3,0.7,2.0,5.55,23.7,10,Avoid,185.6
Aluminum Foil,36.0,4.5,0.0,8.76,95.1,10,Avoid,167.0
Bioplastic (PLA),52.7,3.8,91.1,2.03,53.6,9,Highly Recommended,188.4
Bagasse (Sugarcane),23.0,4.3,96.0,1.37,65.1,5,Highly Recommended,114.0
Bagasse (Sugarcane),38.8,4.2,98.0,1.14,64.6,7,Highly Recommended,154.6
Edible Seaweed Film,8.5,8.1,100.0,0.35,3.1,4,Consider as Option,118.0
Virgin Plastic (PP),84.2,4.7,4.6,4.29,17.6,10,Avoid,265.4
Bamboo Fiber,46.6,5.4,97.0,0.89,35.2,8,Highly Recommended,187.2
Edible Seaweed Film,12.3,4.9,100.0,0.33,2.8,3,Consider as Option,88.6
Bioplastic (PLA),51.5,3.3,92.0,2.44,50.7,9,Highly Recommended,181.0
Bagasse (Sugarcane),30.9,5.1,98.0,0.96,56.2,6,Highly Recommended,142.8
Aluminum Foil,28.2,3.2,0.0,8.15,91.2,10,Avoid,138.4
Edible Seaweed Film,14.3,4.7,100.0,0.39,8.2,2,Consider as Option,85.6
