Material Type,Strength_Mpa,Weight_Capacity_Kg,Biodegradability_Score,CO2_Emission_Score,Recyclability_percent,Cost_per_kg,Moisture_Resistance_percent,Temperature Tolerance (°C),Compostable (Yes/No),Shelf Life Impact Score (1-10),Typical Food Use Case
Wood-based,117.45,5.34,78.6,3.282,92.4,1.65,59.0,109.3,Yes,3,Bakery Packaging
Wood-based,118.13,3.64,30.7,3.551,58.2,2.12,50.3,40.4,No,6,Containers
Biopolymer,121.19,5.68,62.5,2.083,87.4,3.53,51.8,6.0,Yes,7,Produce Wraps
Metal,18.81,7.28,16.7,7.032,28.7,3.94,86.0,20.7,No,1,Bakery Packaging
Synthetic Polymer,75.5,7.65,68.9,6.459,29.2,4.01,90.1,68.6,Yes,1,Food Trays
Metal,67.4,6.49,57.0,5.041,60.3,1.19,42.0,35.4,Yes,4,Cushion Packaging
Bio-Composite,75.0,2.86,11.1,2.699,75.4,3.69,32.4,-20.0,No,10,Bakery Packaging
Plant-based Polymer,48.42,5.22,33.9,5.165,85.1,4.08,73.7,66.2,No,10,Cushion Packaging
Biodegradable Polymer,147.0,11.4,34.7,5.798,22.5,3.33,79.9,72.1,No,5,Takeaway Boxes
Synthetic Polymer,133.41,0.44,74.4,6.929,29.6,2.35,17.2,5.3,Yes,5,Wraps
Bio-Composite,60.49,12.11,61.4,7.281,76.6,4.3,65.4,69.9,Yes,7,Food Trays
Paper-based,125.89,4.29,56.2,7.245,78.8,0.05,50.1,22.2,Yes,9,Beverage Bottles
Bio-Composite,81.1,4.29,69.2,5.403,60.2,1.04,50.7,16.2,Yes,6,Crates
Metal,27.64,4.96,24.2,7.517,64.7,1.25,70.9,28.2,No,4,Cutlery
Biopolymer,144.54,2.86,61.7,4.056,100.0,1.4,36.4,36.5,Yes,6,Dissolvable Pouches
Inorganic,113.09,0.1,28.5,8.285,19.6,0.01,52.1,128.7,No,7,Cushion Packaging
Natural Fiber,2.17,1.75,49.7,8.468,100.0,1.43,32.6,25.6,No,4,Cereal Boxes
Metal,135.38,7.62,73.6,4.814,14.5,3.11,27.1,75.4,Yes,6,Edible Wraps
Plant-based Polymer,85.83,0.1,28.4,4.477,61.6,0.01,49.2,52.1,No,5,Bowls
Natural Fiber,163.82,7.16,42.2,0.827,18.0,3.94,70.1,57.3,No,9,Cutlery
Natural Polymer,146.62,9.65,74.2,5.171,61.6,3.87,74.1,116.4,Yes,5,Edible Wraps
Bio-Composite,47.23,0.91,31.2,8.095,83.5,2.97,76.2,60.7,No,7,Produce Wraps
Biopolymer,39.23,2.15,42.9,5.976,28.1,4.1,59.3,109.5,No,8,Containers
Bio-Composite,31.58,6.42,30.6,2.853,77.3,4.56,41.8,46.0,No,8,Cushion Packaging
Paper-based,72.74,11.15,64.8,5.13,22.9,5.13,37.5,48.2,Yes,1,Beverage Bottles
Inorganic,72.98,8.39,48.8,8.506,18.5,2.92,57.0,-20.0,No,8,Takeaway Boxes
Bio-Composite,131.47,4.53,32.8,6.854,49.6,2.84,59.8,-20.0,No,2,Cushion Packaging
Paper-based,173.54,10.27,57.2,9.053,76.9,3.59,42.9,118.0,Yes,5,Bowls
Paper-based,71.64,4.14,100.0,0.205,98.6,2.09,50.8,92.9,Yes,5,Cutlery
Biodegradable Polymer,87.89,3.62,30.0,3.95,59.6,5.39,53.7,85.0,No,1,Produce Wraps
Synthetic Polymer,107.98,4.45,78.6,6.255,61.2,2.03,45.5,82.9,Yes,10,Dissolvable Pouches
Metal,121.1,5.24,64.4,4.206,75.4,4.16,47.5,53.1,Yes,4,Crates
Paper-based,33.79,3.96,41.5,7.635,96.1,0.96,70.1,126.4,No,9,Bakery Packaging
Wood-based,50.99,8.84,14.3,2.935,57.2,1.56,64.1,46.7,No,7,Containers
Natural Fiber,51.43,3.67,11.9,1.298,100.0,1.72,32.8,77.9,No,8,Containers
Synthetic Polymer,1.0,1.65,99.9,5.823,51.2,1.99,33.0,90.4,Yes,2,Beverage Bottles
Biopolymer,15.41,6.75,30.3,7.873,45.8,2.85,57.6,4.9,No,6,Produce Wraps
Wood-based,96.33,10.37,100.0,3.552,77.5,0.01,40.5,64.9,Yes,5,Edible Wraps
Natural Polymer,140.28,6.24,19.7,1.061,76.1,2.95,88.4,35.9,No,9,Produce Wraps
Wood-based,71.85,2.94,40.8,7.234,66.7,3.31,48.7,96.0,No,2,Produce Wraps
Metal,55.69,2.94,0.0,9.462,27.1,0.08,62.2,49.9,No,8,Wraps
Paper-based,135.16,1.49,52.8,5.785,57.5,3.68,90.3,76.8,Yes,3,Bakery Packaging
Natural Fiber,107.15,4.3,23.5,0.0,60.1,2.71,79.7,77.2,No,2,Edible Wraps
Biodegradable Polymer,85.54,5.17,64.7,4.002,66.1,0.42,50.4,-12.4,Yes,2,Bakery Packaging
Bio-Composite,100.68,5.53,57.9,7.848,48.3,5.23,52.4,87.5,Yes,4,Edible Wraps
Bio-Composite,102.66,14.64,62.2,6.998,38.8,3.88,66.7,41.7,Yes,4,Takeaway Boxes
Paper-based,71.74,8.87,73.0,3.925,78.6,2.93,26.9,29.7,Yes,3,Cereal Boxes
Natural Polymer,139.17,8.72,88.2,5.036,50.2,3.15,44.3,31.5,Yes,6,Cutlery
Paper-based,50.52,6.27,73.8,7.131,29.6,2.28,68.5,24.0,Yes,5,Plates
Wood-based,127.39,10.27,46.5,8.518,38.1,2.17,35.3,-20.0,No,8,Crates
Inorganic,85.13,11.65,13.5,3.506,56.0,1.2,80.1,45.3,No,5,Wraps
Plant-based Polymer,72.05,6.14,61.6,1.161,61.1,2.89,63.8,52.1,Yes,4,Crates
Biopolymer,53.13,7.32,79.7,11.968,78.2,2.22,35.3,33.3,Yes,7,Crates
Bio-Composite,104.37,15.39,46.2,0.861,59.8,3.41,58.2,42.1,No,6,Plates
Synthetic Polymer,140.5,5.03,26.9,7.153,73.8,2.53,62.6,93.6,No,7,Crates
Synthetic Polymer,108.46,3.34,73.9,8.591,99.1,2.62,44.0,4.2,Yes,4,Takeaway Boxes
Plant-based Polymer,116.05,6.52,34.5,3.817,60.9,4.36,54.4,127.6,No,9,Containers
Wood-based,39.73,8.4,57.0,1.42,92.3,1.2,42.5,79.0,Yes,4,Cutlery
Metal,72.12,7.59,13.8,3.954,72.4,2.01,78.8,90.9,No,6,Produce Wraps
Plant-based Polymer,47.35,10.22,33.3,6.925,11.7,3.08,37.3,142.9,No,4,Wraps
Inorganic,67.69,8.92,16.5,3.937,36.9,2.87,81.0,3.1,No,5,Plates
Biodegradable Polymer,80.87,7.97,3.5,4.227,73.8,2.32,4.6,91.7,No,4,Takeaway Boxes
Wood-based,64.17,9.62,22.6,7.05,16.7,2.42,89.4,56.1,No,4,Produce Wraps
Biodegradable Polymer,52.4,5.54,73.6,4.566,45.0,3.25,36.7,-1.1,Yes,10,Edible Wraps
Wood-based,111.61,12.48,12.2,6.176,17.6,3.88,59.1,113.5,No,2,Cushion Packaging
Inorganic,37.46,2.9,0.0,5.367,38.6,2.72,41.1,2.7,No,5,Bowls
Wood-based,128.01,0.2,21.2,1.581,42.3,1.72,39.3,9.3,No,4,Takeaway Boxes
Biodegradable Polymer,50.04,11.87,49.8,4.76,49.0,3.02,0.0,126.9,No,2,Cushion Packaging
Metal,120.34,7.71,69.4,7.649,40.9,0.01,73.6,61.2,Yes,8,Beverage Bottles
Paper-based,76.14,0.91,40.4,6.887,66.2,2.59,84.9,35.0,No,9,Bakery Packaging
Inorganic,79.26,11.32,57.1,6.45,70.2,4.48,74.9,32.2,Yes,1,Bakery Packaging
Paper-based,94.8,11.33,73.4,3.756,53.8,4.4,64.1,-3.8,Yes,5,Edible Wraps
Biopolymer,122.27,2.81,60.2,5.972,75.3,4.04,64.5,23.4,Yes,3,Food Trays
Wood-based,104.45,8.04,53.1,6.744,100.0,3.32,69.9,29.3,Yes,1,Produce Wraps
Natural Fiber,75.54,12.27,59.7,6.24,99.6,2.65,66.0,54.1,Yes,7,Food Trays
Paper-based,66.2,5.55,87.5,0.885,95.7,2.96,93.6,101.3,Yes,6,Food Trays
Biodegradable Polymer,158.87,1.38,42.8,2.633,87.5,3.23,51.8,-20.0,No,9,Cutlery
Wood-based,85.18,11.46,86.0,8.351,69.5,4.18,71.9,92.8,Yes,4,Cereal Boxes
Biodegradable Polymer,69.38,12.94,33.8,1.765,78.3,2.24,78.0,-20.0,No,2,Plates
Synthetic Polymer,20.63,3.35,62.1,7.022,73.7,0.01,85.2,27.6,Yes,5,Plates
Biodegradable Polymer,6.03,6.05,35.9,8.795,56.5,2.07,49.1,49.4,No,4,Takeaway Boxes
Plant-based Polymer,10.29,9.91,85.9,7.874,47.2,4.11,57.1,38.3,Yes,4,Bowls
Synthetic Polymer,118.39,6.55,0.6,4.671,79.9,1.43,59.0,79.4,No,3,Takeaway Boxes
Inorganic,76.67,4.46,23.6,10.067,57.7,1.71,78.0,72.5,No,7,Takeaway Boxes
Inorganic,53.4,7.59,78.2,0.0,41.8,2.25,96.6,37.0,Yes,6,Takeaway Boxes
Natural Polymer,93.14,16.84,45.2,3.738,82.0,2.57,88.0,43.8,No,6,Produce Wraps
Paper-based,136.1,9.06,26.9,8.674,88.2,2.4,27.5,7.8,No,9,Edible Wraps
Wood-based,57.06,7.82,13.3,2.376,63.3,4.56,62.6,27.3,No,2,Beverage Bottles
Wood-based,132.37,4.3,11.3,8.195,76.8,0.36,23.8,31.6,No,4,Bowls
Synthetic Polymer,85.65,5.37,47.7,6.176,68.5,3.49,88.3,22.3,No,7,Crates
Wood-based,53.92,7.81,51.3,0.643,57.2,1.54,100.0,71.0,Yes,9,Bakery Packaging
Bio-Composite,4.99,0.92,84.1,3.53,51.2,2.45,97.2,54.1,Yes,3,Beverage Bottles
Wood-based,66.56,6.09,81.2,6.384,65.8,1.67,71.7,33.7,Yes,7,Crates
Bio-Composite,74.18,0.96,39.1,11.796,76.5,2.04,70.2,76.3,No,6,Cereal Boxes
Natural Polymer,13.43,7.54,73.6,8.085,100.0,2.35,49.0,124.6,Yes,5,Takeaway Boxes
Inorganic,43.91,3.86,43.4,4.929,77.4,5.22,80.6,41.7,No,4,Cereal Boxes
Paper-based,78.75,9.43,70.8,7.498,60.4,0.46,77.6,44.7,Yes,3,Cutlery
Inorganic,78.11,2.55,20.4,5.871,66.7,1.1,72.1,21.7,No,7,Bakery Packaging
Paper-based,25.67,5.29,50.9,3.202,33.9,4.97,61.2,38.6,Yes,2,Cutlery
Natural Fiber,117.53,4.31,13.7,5.087,100.0,3.4,35.6,47.9,No,6,Takeaway Boxes
Synthetic Polymer,98.64,7.01,43.3,6.019,72.9,2.98,62.3,38.9,No,7,Wraps
Natural Polymer,102.62,5.97,49.8,3.632,23.3,5.48,10.2,38.2,No,6,Crates
Biopolymer,62.7,3.54,36.5,0.927,69.2,2.69,52.3,74.2,No,5,Food Trays
Plant-based Polymer,133.6,3.84,58.1,9.288,78.6,0.44,69.3,36.9,Yes,2,Cushion Packaging
Plant-based Polymer,20.36,6.75,63.0,3.365,97.0,1.03,53.8,107.2,Yes,5,Beverage Bottles
Biopolymer,127.06,6.09,51.0,1.846,76.3,2.53,0.0,48.3,Yes,7,Bakery Packaging
Bio-Composite,110.04,0.1,90.3,5.767,80.3,2.35,64.1,129.2,Yes,1,Plates
Synthetic Polymer,145.36,6.1,64.9,3.964,40.9,1.89,0.0,-20.0,Yes,10,Bakery Packaging
Inorganic,90.22,7.91,52.0,2.391,67.6,2.48,47.8,36.3,Yes,3,Cushion Packaging
Biodegradable Polymer,82.02,9.67,60.7,5.304,41.0,2.06,71.5,49.8,Yes,2,Containers
Biopolymer,88.69,5.98,73.5,9.189,70.4,2.22,100.0,-1.6,Yes,1,Bakery Packaging
Wood-based,48.26,4.97,74.3,6.407,66.3,4.93,63.6,30.5,Yes,6,Cushion Packaging
Wood-based,47.88,6.5,76.1,2.069,64.4,3.92,28.1,97.4,Yes,2,Containers
Natural Polymer,147.79,3.31,96.5,3.356,43.0,3.04,78.3,41.2,Yes,1,Cereal Boxes
Natural Polymer,65.81,4.34,23.4,7.604,44.8,3.66,75.7,20.6,No,5,Food Trays
Wood-based,96.3,7.92,12.7,1.565,61.9,5.06,28.7,120.1,No,6,Cushion Packaging
Inorganic,48.85,4.71,81.3,8.467,100.0,0.43,57.7,20.9,Yes,7,Crates
Natural Polymer,119.8,3.05,66.4,7.795,86.9,1.25,25.2,90.4,Yes,2,Takeaway Boxes
Biopolymer,116.97,5.03,49.3,5.866,7.1,3.18,43.9,132.6,No,6,Food Trays
Biopolymer,87.12,10.94,12.5,5.471,40.9,5.44,27.9,-13.6,No,5,Crates
Natural Fiber,68.94,3.58,75.3,2.836,70.3,2.65,85.2,55.5,Yes,5,Plates
Paper-based,76.28,10.79,9.5,2.631,93.8,2.7,62.6,54.2,No,6,Crates
Natural Polymer,28.56,4.47,28.6,5.685,72.3,5.07,75.2,-4.9,No,3,Beverage Bottles
Synthetic Polymer,76.7,5.68,44.4,1.895,40.7,1.04,69.3,11.2,No,3,Containers
Plant-based Polymer,74.1,5.33,51.9,6.706,98.2,2.3,49.7,78.0,Yes,10,Bowls
Natural Fiber,3.1,7.85,43.3,7.558,33.8,1.08,66.1,24.2,No,4,Crates
Biodegradable Polymer,117.24,3.36,77.4,5.94,51.1,3.22,60.5,45.9,Yes,4,Takeaway Boxes
Inorganic,110.1,4.61,28.2,0.875,61.3,1.63,58.0,103.7,No,8,Crates
Metal,58.02,7.28,57.9,2.92,64.0,2.41,34.2,18.9,Yes,7,Plates
Biopolymer,53.37,8.77,61.0,3.738,66.3,4.68,94.6,54.7,Yes,7,Wraps
Natural Polymer,45.57,10.7,30.5,5.103,39.8,1.97,31.2,40.1,No,5,Takeaway Boxes
Bio-Composite,1.0,5.09,60.2,7.348,26.9,2.78,100.0,29.5,Yes,2,Containers
Inorganic,114.44,6.42,9.2,5.245,46.9,0.63,7.6,83.3,No,5,Takeaway Boxes
Metal,123.57,7.86,35.3,5.918,100.0,1.87,66.6,47.3,No,6,Food Trays
Wood-based,66.49,11.57,62.8,3.704,72.4,2.61,68.4,59.3,Yes,8,Bakery Packaging
Bio-Composite,35.23,5.04,57.2,4.156,85.1,2.9,77.6,-20.0,Yes,9,Containers
Natural Polymer,22.86,6.25,51.9,8.334,70.2,1.18,76.3,71.9,Yes,8,Cutlery
Natural Fiber,99.34,2.54,60.1,3.99,0.0,1.5,70.3,5.5,Yes,9,Cutlery
Metal,66.79,7.4,74.6,4.216,57.5,2.87,78.5,166.6,Yes,8,Cereal Boxes
Natural Fiber,130.22,5.26,56.4,5.719,26.5,3.76,31.4,132.5,Yes,9,Food Trays
Synthetic Polymer,74.23,7.63,62.5,3.879,95.5,3.8,31.4,19.6,Yes,8,Cutlery
Natural Polymer,54.28,4.0,58.6,1.973,66.9,0.89,26.3,-6.5,Yes,7,Produce Wraps
Paper-based,53.89,12.64,35.9,4.865,86.7,2.09,60.6,3.2,No,10,Cushion Packaging
Natural Fiber,81.31,7.04,43.1,9.321,31.2,1.24,93.1,-20.0,No,9,Food Trays
Biodegradable Polymer,13.86,0.45,78.2,5.164,48.5,3.32,68.2,99.9,Yes,8,Food Trays
Metal,57.55,4.44,22.0,4.811,38.5,1.6,19.6,51.8,No,6,Food Trays
Paper-based,36.9,11.08,53.5,9.457,100.0,1.18,91.1,14.2,Yes,1,Wraps
Paper-based,86.23,4.14,49.1,4.952,74.6,3.98,100.0,98.1,No,5,Produce Wraps
Biopolymer,41.65,4.55,36.4,6.009,70.3,2.0,44.1,17.5,No,7,Cushion Packaging
Synthetic Polymer,128.43,6.5,49.0,2.931,66.2,3.44,83.3,73.4,No,7,Bakery Packaging
Paper-based,34.79,3.81,100.0,3.106,81.5,0.19,16.1,81.3,Yes,6,Takeaway Boxes
Biodegradable Polymer,54.96,6.51,89.8,8.961,58.8,1.01,51.8,75.0,Yes,9,Containers
Inorganic,69.87,3.78,50.9,5.185,56.0,1.91,17.5,66.0,Yes,2,Produce Wraps
Inorganic,25.31,8.51,57.0,7.025,57.0,2.47,59.0,42.5,Yes,1,Crates
Paper-based,95.44,5.2,33.0,6.821,51.8,4.63,68.8,30.8,No,5,Dissolvable Pouches
Biodegradable Polymer,110.32,0.1,32.6,4.304,63.3,3.5,83.4,17.3,No,4,Wraps
Natural Polymer,26.4,9.23,58.6,4.623,39.1,4.48,59.0,101.5,Yes,1,Produce Wraps
Natural Polymer,50.1,7.5,40.7,4.589,64.8,4.54,75.0,30.3,No,5,Plates
Bio-Composite,116.77,12.47,19.2,4.866,28.7,3.09,41.1,19.4,No,6,Bowls
Metal,72.84,0.47,38.7,4.92,80.3,0.42,86.2,57.9,No,7,Bakery Packaging
Inorganic,94.37,2.56,32.5,9.227,15.7,2.7,79.3,91.8,No,4,Bowls
Natural Fiber,125.34,1.82,57.6,2.618,100.0,3.77,29.6,57.4,Yes,3,Containers
Bio-Composite,141.4,8.05,26.0,0.135,64.7,3.81,100.0,101.6,No,1,Food Trays
Natural Fiber,72.23,6.55,78.9,6.778,37.9,1.7,73.6,36.7,Yes,6,Cutlery
Bio-Composite,1.46,7.65,88.0,5.782,93.8,3.05,88.0,66.4,Yes,3,Cutlery
Wood-based,79.88,6.29,42.5,2.419,67.5,1.83,86.2,7.5,No,7,Cutlery
Metal,116.05,0.86,61.2,7.408,49.3,0.69,30.4,67.9,Yes,7,Cutlery
Inorganic,117.17,5.54,19.1,6.612,89.0,3.94,71.2,81.1,No,8,Produce Wraps
Natural Fiber,70.72,0.1,56.7,7.529,96.1,1.14,95.4,68.9,Yes,5,Dissolvable Pouches
Synthetic Polymer,148.57,6.52,0.0,2.778,55.0,4.76,66.0,122.9,No,2,Wraps
Synthetic Polymer,141.91,2.47,0.0,8.08,74.7,2.75,80.6,109.5,No,5,Cereal Boxes
Synthetic Polymer,78.62,0.98,45.9,3.323,57.2,2.75,46.6,57.5,No,7,Dissolvable Pouches
Synthetic Polymer,120.52,10.34,49.2,1.543,54.8,5.85,73.0,76.4,No,6,Cushion Packaging
Bio-Composite,34.11,10.79,100.0,5.584,55.1,2.52,21.2,70.1,Yes,2,Takeaway Boxes
Metal,129.45,0.63,61.2,4.047,44.7,3.6,56.7,52.5,Yes,1,Takeaway Boxes
Biopolymer,104.63,4.82,56.5,3.551,66.6,1.5,38.9,97.3,Yes,3,Produce Wraps
Bio-Composite,52.63,3.36,67.6,10.545,61.4,4.36,68.4,75.8,Yes,3,Cutlery
Paper-based,151.31,10.95,0.0,6.402,50.2,3.77,77.1,43.2,No,3,Wraps
Natural Fiber,83.04,7.56,40.7,2.664,57.9,4.54,81.0,86.7,No,10,Bowls
Bio-Composite,7.88,8.24,32.4,7.061,58.4,3.08,38.6,51.5,No,7,Wraps
Paper-based,146.14,7.5,0.0,6.432,85.6,3.39,100.0,45.1,No,1,Edible Wraps
Natural Polymer,135.82,6.98,60.0,5.776,90.3,2.27,91.7,7.8,Yes,7,Produce Wraps
Wood-based,104.83,3.51,22.1,7.588,67.8,2.47,27.8,-4.5,No,6,Food Trays
Plant-based Polymer,92.79,7.83,69.6,5.926,75.0,1.81,84.7,103.6,Yes,6,Cushion Packaging
Paper-based,75.31,8.87,50.6,7.412,56.2,1.12,38.8,75.2,Yes,10,Crates
Biopolymer,57.45,4.84,73.4,6.902,42.5,3.4,66.7,93.6,Yes,5,Produce Wraps
Biodegradable Polymer,131.92,3.14,41.1,2.651,94.0,2.79,17.3,47.0,No,9,Cutlery
Inorganic,116.28,2.98,2.0,9.463,29.7,1.57,58.7,96.9,No,8,Crates
Inorganic,73.49,0.57,82.4,8.521,54.2,1.79,36.0,84.5,Yes,3,Takeaway Boxes
Natural Fiber,108.54,8.77,94.6,2.442,40.6,2.89,40.3,93.0,Yes,7,Edible Wraps
Plant-based Polymer,75.62,7.46,43.5,2.093,61.7,2.56,62.2,-17.7,No,1,Wraps
Plant-based Polymer,133.83,7.16,33.6,3.27,57.7,2.84,58.6,11.0,No,3,Cereal Boxes
Wood-based,101.66,7.5,78.7,4.053,56.7,3.15,74.6,-13.2,Yes,4,Produce Wraps
Natural Polymer,61.65,5.79,22.2,10.121,47.1,1.31,100.0,40.2,No,5,Containers
Plant-based Polymer,42.27,8.25,37.0,6.238,73.5,1.94,64.2,-0.7,No,7,Takeaway Boxes
Inorganic,118.37,6.64,93.9,4.436,40.9,0.38,98.4,-10.7,Yes,5,Takeaway Boxes
Inorganic,70.2,5.35,62.4,4.617,72.1,0.29,65.4,68.1,Yes,1,Food Trays
Biodegradable Polymer,127.7,4.99,68.9,5.127,51.2,0.18,35.0,95.5,Yes,5,Bakery Packaging
Natural Fiber,52.16,9.36,65.5,4.856,76.7,0.78,52.7,56.0,Yes,2,Takeaway Boxes
Natural Polymer,57.02,10.91,11.1,4.647,30.6,2.51,100.0,86.0,No,5,Containers
Plant-based Polymer,115.45,7.2,73.3,5.193,24.5,3.47,67.1,26.7,Yes,3,Cereal Boxes
Natural Polymer,130.83,6.65,0.0,4.457,72.2,4.0,62.8,2.7,No,6,Crates
Natural Fiber,124.93,2.1,92.2,1.567,74.1,0.89,44.6,50.7,Yes,4,Bowls
Metal,93.86,3.55,42.9,1.475,33.1,2.79,13.8,80.5,No,4,Cushion Packaging
Biopolymer,109.4,2.11,61.0,6.334,82.0,1.79,43.1,84.7,Yes,10,Dissolvable Pouches
Natural Polymer,136.17,6.16,53.6,8.723,77.2,1.79,51.5,-0.6,Yes,5,Produce Wraps
Paper-based,110.9,8.03,64.3,3.321,68.1,0.4,58.0,70.5,Yes,8,Plates
Wood-based,1.0,5.17,75.1,2.244,52.2,1.77,73.4,101.5,Yes,9,Plates
Biodegradable Polymer,37.17,3.34,41.1,6.244,53.0,2.49,36.5,87.8,No,8,Cereal Boxes
Wood-based,1.0,4.09,36.1,6.205,50.0,3.7,47.1,-20.0,No,4,Edible Wraps
Synthetic Polymer,104.39,6.97,69.9,4.706,61.2,3.72,52.7,56.7,Yes,7,Cutlery
Inorganic,77.7,6.45,46.9,4.277,71.0,2.07,84.2,69.5,No,4,Plates
Biopolymer,49.54,10.63,50.6,6.468,57.3,3.98,54.1,103.2,Yes,8,Crates
Biopolymer,50.95,2.49,0.0,9.406,47.1,3.64,60.7,39.6,No,7,Food Trays
Synthetic Polymer,96.32,5.93,91.5,5.95,76.7,0.99,17.3,71.3,Yes,1,Produce Wraps
Bio-Composite,97.69,9.15,14.5,6.797,64.5,3.23,40.6,113.8,No,5,Cutlery
Wood-based,79.38,6.48,27.4,5.48,37.9,3.67,43.6,97.9,No,9,Cushion Packaging
Paper-based,110.99,10.87,80.2,5.477,75.4,1.71,56.3,47.0,Yes,8,Containers
Synthetic Polymer,86.01,7.8,85.3,7.784,43.8,2.72,66.6,155.1,Yes,1,Food Trays
Inorganic,65.32,3.88,29.1,2.48,81.3,3.9,0.1,-20.0,No,7,Cereal Boxes
Biodegradable Polymer,106.01,8.45,46.7,3.092,44.0,1.25,49.2,8.5,No,4,Beverage Bottles
Bio-Composite,87.11,5.56,31.9,8.0,67.5,3.66,50.9,23.4,No,6,Bakery Packaging
Biopolymer,30.64,6.35,44.0,2.367,46.3,2.22,45.4,6.5,No,10,Produce Wraps
Biopolymer,76.01,0.1,43.7,5.78,74.1,3.71,73.5,-20.0,No,6,Cereal Boxes
Paper-based,65.8,3.77,0.0,3.302,36.1,0.37,0.0,45.4,No,3,Cereal Boxes
Natural Polymer,101.71,2.32,76.3,0.453,42.3,2.93,81.0,-1.8,Yes,5,Dissolvable Pouches
Synthetic Polymer,37.36,4.03,32.0,4.443,55.0,1.01,63.1,85.0,No,6,Bakery Packaging
Wood-based,23.05,5.32,58.4,7.782,64.9,5.46,61.9,117.5,Yes,9,Takeaway Boxes
Natural Fiber,1.0,4.82,73.6,0.0,70.5,0.16,7.9,63.1,Yes,4,Dissolvable Pouches
Biodegradable Polymer,87.24,9.91,100.0,1.682,97.9,3.98,24.3,70.5,Yes,4,Dissolvable Pouches
Natural Polymer,94.74,5.58,51.3,8.091,33.9,3.24,34.3,34.8,Yes,5,Takeaway Boxes
Wood-based,109.5,9.7,33.4,4.428,100.0,2.16,68.5,62.6,No,3,Food Trays
Wood-based,81.05,3.17,47.1,6.106,46.8,1.15,33.8,-15.0,No,3,Wraps
Inorganic,24.62,8.29,60.7,6.241,83.7,2.35,86.5,80.4,Yes,9,Bakery Packaging
Natural Fiber,100.6,6.79,60.4,4.31,15.8,2.84,100.0,54.1,Yes,9,Cutlery
Paper-based,133.51,5.37,27.5,3.623,38.6,0.15,21.9,34.8,No,9,Dissolvable Pouches
Metal,6.04,9.22,75.8,8.022,58.5,3.65,61.8,60.3,Yes,8,Bakery Packaging
Synthetic Polymer,112.06,1.73,37.6,4.292,69.6,4.09,15.8,54.8,No,7,Beverage Bottles
Metal,29.73,5.16,27.0,6.011,59.1,3.56,43.6,127.4,No,4,Dissolvable Pouches
Synthetic Polymer,25.66,0.1,71.7,10.616,70.1,2.23,67.9,-5.3,Yes,2,Bowls
Metal,106.2,1.33,93.8,4.856,73.0,1.59,95.1,106.9,Yes,2,Produce Wraps
Biopolymer,82.52,5.15,53.2,3.801,80.8,2.13,87.0,84.2,Yes,7,Produce Wraps
Plant-based Polymer,77.79,3.03,68.9,5.384,37.3,4.97,83.8,-11.5,Yes,5,Beverage Bottles
Biopolymer,148.41,2.57,65.4,5.035,30.3,2.58,53.4,72.1,Yes,9,Plates
Metal,116.33,6.6,32.6,7.735,8.3,1.81,82.9,30.3,No,2,Crates
Synthetic Polymer,80.3,13.14,31.4,6.198,87.1,2.62,82.6,70.8,No,3,Bowls
Wood-based,91.2,3.8,69.2,2.754,39.2,3.71,32.6,-18.1,Yes,8,Plates
Metal,153.36,8.53,41.6,5.043,94.2,1.94,37.0,-0.0,No,7,Food Trays
Synthetic Polymer,24.02,5.16,92.3,0.0,12.0,3.33,62.9,77.4,Yes,7,Crates
Wood-based,123.38,0.1,10.4,3.893,30.8,2.24,18.4,109.7,No,4,Takeaway Boxes
Biopolymer,79.23,6.35,40.9,5.977,64.1,1.89,73.8,57.7,No,4,Plates
Natural Polymer,33.53,5.57,26.1,2.893,64.6,5.17,82.8,51.2,No,6,Bakery Packaging
Metal,1.0,4.24,100.0,4.589,91.5,3.04,41.8,9.8,Yes,5,Edible Wraps
Paper-based,69.48,2.89,5.0,2.411,80.6,1.4,43.9,-20.0,No,5,Crates
Plant-based Polymer,74.05,4.27,62.9,4.92,76.8,2.18,24.5,10.8,Yes,4,Edible Wraps
Biopolymer,121.15,13.13,1.8,3.473,21.1,3.47,62.4,120.9,No,2,Edible Wraps
Synthetic Polymer,54.15,5.04,100.0,5.245,64.3,3.55,58.3,65.0,Yes,6,Produce Wraps
Synthetic Polymer,48.36,0.1,63.4,5.564,93.0,0.01,74.1,96.9,Yes,3,Crates
Metal,64.09,6.37,100.0,5.452,46.9,3.45,42.7,58.0,Yes,9,Produce Wraps
Metal,116.8,5.03,37.1,2.894,72.3,2.38,93.3,18.3,No,2,Bakery Packaging
Biodegradable Polymer,87.34,6.75,79.1,5.736,39.0,2.41,49.2,29.6,Yes,2,Beverage Bottles
Biopolymer,94.41,6.26,50.3,3.176,48.6,0.58,55.0,49.4,Yes,4,Edible Wraps
Plant-based Polymer,111.58,6.67,57.0,8.536,48.6,3.05,50.7,3.2,Yes,5,Containers
Biodegradable Polymer,59.48,9.91,40.8,1.668,33.8,4.93,84.1,4.0,No,5,Dissolvable Pouches
Natural Polymer,61.02,7.6,21.1,9.322,9.7,3.38,84.4,110.1,No,7,Wraps
Bio-Composite,54.09,6.67,57.3,8.13,89.2,2.49,57.6,-11.8,Yes,5,Beverage Bottles
Synthetic Polymer,112.7,5.53,16.3,8.461,56.3,4.32,60.7,50.4,No,5,Takeaway Boxes
