Material_Type,Tensile_Strength_MPa,Weight_Capacity_kg,Biodegradability_Score,CO2_Emission_Score,Recyclability_Percent,Moisture_Barrier_Grade,AI_Recommendation
Virgin Plastic (PP),77.5,3.9,2.4,5.8,21.5,10,Avoid
Recycled Cardboard,32.1,5.3,94.5,1.2,88.9,3,Highly Recommended
Edible Seaweed Film,5.6,1.0,100.0,0.21,7.6,4,Consider as Option
Virgin Plastic (PP),86.0,5.8,5.0,5.79,22.6,10,Avoid
Edible Seaweed Film,14.2,3.7,100.0,0.37,7.7,4,Consider as Option
Virgin Plastic (PP),62.0,4.9,2.7,3.64,29.7,10,Avoid
Edible Seaweed Film,13.9,3.9,100.0,0.55,1.8,2,Consider as Option
Edible Seaweed Film,7.4,8.8,100.0,0.42,0.6,4,Consider as Option
Recycled Cardboard,18.7,1.8,90.0,1.38,92.8,5,Highly Recommended
Mushroom Mycelium,23.0,7.4,100.0,0.27,100.0,4,Highly Recommended
Recycled Cardboard,15.3,5.8,93.4,1.01,96.6,3,Highly Recommended
Bioplastic (PLA),52.3,2.7,92.1,1.66,56.8,9,Highly Recommended
Mushroom Mycelium,18.6,3.8,100.0,0.3,100.0,4,Highly Recommended
Virgin Plastic (PP),68.8,4.4,3.5,5.45,14.8,10,Avoid
Mushroom Mycelium,15.4,4.8,100.0,0.36,100.0,6,Highly Recommended
Bagasse (Sugarcane),28.2,5.1,97.8,0.98,53.2,5,Highly Recommended
Edible Seaweed Film,13.4,3.0,100.0,0.36,5.6,4,Consider as Option
Aluminum Foil,37.4,8.2,0.0,9.95,93.7,10,Avoid
Edible Seaweed Film,7.9,7.3,100.0,0.35,2.6,4,Consider as Option
Edible Seaweed Film,10.0,7.0,100.0,0.22,7.6,2,Consider as Option
Virgin Plastic (PP),83.4,5.0,2.1,4.87,21.8,10,Avoid
Bamboo Fiber,45.9,1.0,97.5,0.74,38.0,8,Highly Recommended
Bamboo Fiber,41.2,7.3,97.3,1.15,49.0,7,Highly Recommended
Bioplastic (PLA),69.4,5.4,84.1,2.24,49.3,9,Highly Recommended
Aluminum Foil,42.8,1.6,0.0,8.96,95.3,10,Avoid
Aluminum Foil,34.0,5.0,0.0,9.17,98.1,10,Avoid
Virgin Plastic (PP),79.6,7.5,3.2,5.82,14.1,10,Avoid
Bagasse (Sugarcane),31.0,8.6,98.8,1.24,56.8,7,Highly Recommended
Recycled Cardboard,29.3,5.5,92.3,0.92,82.5,5,Highly Recommended
Bamboo Fiber,56.1,6.8,96.4,0.62,35.4,6,Highly Recommended
Recycled Cardboard,15.9,4.8,100.0,1.19,95.4,5,Highly Recommended
Bioplastic (PLA),60.4,9.3,85.3,1.92,58.1,9,Highly Recommended
Mushroom Mycelium,13.7,5.5,100.0,0.15,100.0,4,Highly Recommended
Edible Seaweed Film,9.6,2.8,100.0,0.48,6.5,4,Consider as Option
Mushroom Mycelium,14.9,1.2,100.0,0.26,100.0,6,Highly Recommended
Aluminum Foil,21.8,8.9,0.0,10.62,98.9,10,Avoid
Bamboo Fiber,57.1,0.8,100.0,0.9,39.8,6,Highly Recommended
Aluminum Foil,25.6,9.7,0.0,8.79,97.1,10,Avoid
Edible Seaweed Film,13.8,3.9,100.0,0.58,2.9,3,Consider as Option
Edible Seaweed Film,13.6,8.0,100.0,0.4,5.4,4,Consider as Option
Recycled Cardboard,22.2,2.6,96.2,1.15,92.5,4,Highly Recommended
Edible Seaweed Film,8.3,6.0,100.0,0.56,1.6,3,Consider as Option
Bagasse (Sugarcane),26.6,3.3,95.1,0.9,68.0,6,Highly Recommended
Bamboo Fiber,48.9,8.0,99.8,0.8,41.1,8,Highly Recommended
Bagasse (Sugarcane),22.6,3.0,98.5,1.11,68.6,7,Highly Recommended
Recycled Cardboard,23.4,7.3,90.0,1.04,89.3,4,Highly Recommended
Recycled Cardboard,15.4,7.7,95.8,1.12,90.9,3,Highly Recommended
Edible Seaweed Film,13.9,4.8,100.0,0.44,2.9,4,Consider as Option
Mushroom Mycelium,13.4,9.3,100.0,0.35,100.0,4,Highly Recommended
Bamboo Fiber,42.6,6.3,99.2,0.89,43.2,8,Highly Recommended
Aluminum Foil,32.0,7.7,0.0,8.34,91.7,10,Avoid
Bioplastic (PLA),69.7,9.8,81.7,2.06,58.6,9,Highly Recommended
Bamboo Fiber,53.4,6.1,100.0,1.07,35.9,6,Highly Recommended
Aluminum Foil,21.1,4.4,0.0,11.55,95.8,10,Avoid
Recycled Cardboard,33.2,1.3,95.3,1.21,92.7,5,Highly Recommended
Virgin Plastic (PP),65.9,5.3,2.7,5.39,22.5,10,Avoid
Recycled Cardboard,28.4,6.0,98.1,0.89,84.0,5,Highly Recommended
Aluminum Foil,37.7,1.3,0.0,8.72,95.2,10,Avoid
Virgin Plastic (PP),81.0,2.1,2.5,5.56,16.9,10,Avoid
Edible Seaweed Film,12.3,2.0,100.0,0.47,7.2,4,Consider as Option
Bagasse (Sugarcane),34.9,5.6,96.5,0.91,62.3,5,Highly Recommended
Bamboo Fiber,54.9,8.8,98.1,0.63,33.2,6,Highly Recommended
Aluminum Foil,42.2,8.8,0.0,9.15,94.6,10,Avoid
Bioplastic (PLA),68.3,1.7,81.6,2.16,56.0,9,Highly Recommended
Bagasse (Sugarcane),38.6,0.9,96.5,0.98,69.5,7,Highly Recommended
Mushroom Mycelium,14.9,1.2,100.0,0.26,100.0,6,Highly Recommended
Mushroom Mycelium,24.3,6.9,100.0,0.31,100.0,4,Highly Recommended
Recycled Cardboard,16.9,9.0,98.0,1.16,84.7,5,Highly Recommended
Bioplastic (PLA),57.6,1.0,80.6,1.51,48.6,8,Highly Recommended
Aluminum Foil,43.2,9.1,0.0,8.78,97.0,10,Avoid
Recycled Cardboard,30.0,2.4,91.4,0.94,85.7,5,Highly Recommended
Mushroom Mycelium,18.3,1.1,100.0,0.22,100.0,5,Highly Recommended
Aluminum Foil,34.7,8.9,0.0,9.95,95.4,10,Avoid
Edible Seaweed Film,6.7,9.5,100.0,0.43,7.3,3,Consider as Option
Bioplastic (PLA),72.5,4.1,89.1,2.27,58.1,9,Highly Recommended
Aluminum Foil,42.2,3.0,0.0,11.36,90.7,10,Avoid
Aluminum Foil,30.8,4.9,0.0,9.28,98.6,10,Avoid
Bioplastic (PLA),65.5,5.9,82.8,2.06,51.5,9,Highly Recommended
Virgin Plastic (PP),82.5,3.7,1.8,4.35,24.9,10,Avoid
Virgin Plastic (PP),66.2,8.7,3.4,4.16,11.7,10,Avoid
Recycled Cardboard,23.4,6.7,98.2,1.47,91.3,3,Highly Recommended
Edible Seaweed Film,9.4,6.3,100.0,0.57,6.5,4,Consider as Option
Recycled Cardboard,29.3,5.5,92.3,0.92,82.5,5,Highly Recommended
Aluminum Foil,20.6,3.5,0.0,9.1,91.7,10,Avoid
Recycled Cardboard,18.3,8.3,95.3,1.08,87.3,4,Highly Recommended
Bioplastic (PLA),73.4,7.4,86.0,2.22,44.3,8,Consider as Option
Aluminum Foil,28.8,5.0,0.0,11.43,95.3,10,Avoid
Recycled Cardboard,25.2,0.6,94.1,1.22,84.8,4,Highly Recommended
Bagasse (Sugarcane),26.8,6.2,97.1,1.37,55.5,7,Highly Recommended
Bioplastic (PLA),66.2,1.7,81.4,2.48,52.0,9,Consider as Option
Edible Seaweed Film,9.4,0.9,100.0,0.6,9.2,4,Consider as Option
Bioplastic (PLA),65.8,2.4,91.3,2.15,45.4,8,Highly Recommended
Virgin Plastic (PP),71.5,7.0,4.8,5.96,21.7,10,Avoid
Aluminum Foil,26.6,6.4,0.0,10.85,91.4,10,Avoid
Bamboo Fiber,50.1,1.9,98.0,1.07,37.3,6,Highly Recommended
Bioplastic (PLA),71.4,3.5,80.4,1.6,55.9,8,Highly Recommended
Bagasse (Sugarcane),23.4,6.5,100.0,1.21,59.8,5,Highly Recommended
Edible Seaweed Film,13.2,7.9,100.0,0.29,0.2,4,Consider as Option
Edible Seaweed Film,5.8,7.1,100.0,0.2,5.7,2,Consider as Option
Recycled Cardboard,28.9,0.6,99.0,1.02,98.1,4,Highly Recommended
Recycled Cardboard,28.3,1.9,93.5,1.27,85.7,3,Highly Recommended
Bioplastic (PLA),71.3,8.4,91.8,2.42,57.9,8,Highly Recommended
Recycled Cardboard,22.8,3.7,91.9,0.83,92.6,5,Highly Recommended
Aluminum Foil,23.3,7.4,0.0,9.78,90.7,10,Avoid
Bagasse (Sugarcane),38.9,1.1,99.9,0.97,56.9,7,Highly Recommended
Virgin Plastic (PP),62.5,1.1,3.5,5.87,26.1,10,Avoid
Mushroom Mycelium,16.7,5.8,100.0,0.23,100.0,6,Highly Recommended
Aluminum Foil,36.0,4.5,0.0,8.76,95.1,10,Avoid
Virgin Plastic (PP),60.8,1.6,2.4,3.72,27.5,10,Avoid
Bagasse (Sugarcane),31.8,9.7,95.7,1.23,52.5,6,Highly Recommended
Bagasse (Sugarcane),27.0,5.1,99.5,1.07,54.1,6,Highly Recommended
Bagasse (Sugarcane),33.1,2.9,96.1,1.05,55.5,7,Highly Recommended
Virgin Plastic (PP),60.4,4.5,3.0,5.18,26.7,10,Avoid
Aluminum Foil,43.3,2.5,0.0,9.83,93.3,10,Avoid
Mushroom Mycelium,23.8,10.0,100.0,0.21,100.0,5,Highly Recommended
Bagasse (Sugarcane),20.4,9.5,99.3,1.38,61.5,7,Highly Recommended
Bagasse (Sugarcane),31.2,2.5,99.2,1.07,64.2,6,Highly Recommended
Bioplastic (PLA),73.2,4.2,86.7,1.5,56.3,8,Highly Recommended
Edible Seaweed Film,12.3,8.5,100.0,0.48,4.1,4,Consider as Option
Bioplastic (PLA),52.0,8.3,92.6,1.98,47.2,8,Highly Recommended
Edible Seaweed Film,8.5,1.2,100.0,0.44,2.1,4,Consider as Option
Recycled Cardboard,28.9,2.8,99.4,1.25,81.5,5,Highly Recommended
Virgin Plastic (PP),62.3,4.6,1.0,4.92,28.4,10,Avoid
Recycled Cardboard,30.5,8.3,91.8,1.03,88.3,5,Highly Recommended
Bamboo Fiber,54.0,9.2,98.2,1.13,37.7,8,Highly Recommended
Bagasse (Sugarcane),30.5,3.2,95.8,1.18,63.7,6,Highly Recommended
Edible Seaweed Film,9.4,6.3,100.0,0.57,6.5,4,Consider as Option
Bamboo Fiber,41.5,6.9,97.0,0.59,35.8,7,Highly Recommended
Aluminum Foil,28.1,1.9,0.0,8.82,99.5,10,Avoid
Virgin Plastic (PP),64.9,4.5,1.4,5.84,11.0,10,Avoid
Virgin Plastic (PP),61.0,3.5,2.9,4.71,16.9,10,Avoid
Edible Seaweed Film,9.4,1.7,100.0,0.28,5.4,4,Consider as Option
Bamboo Fiber,50.7,6.6,98.8,0.54,30.5,7,Highly Recommended
Virgin Plastic (PP),78.4,9.6,4.1,5.49,26.6,10,Avoid
Mushroom Mycelium,22.4,8.6,100.0,0.22,100.0,5,Highly Recommended
Bamboo Fiber,41.1,6.7,98.9,0.69,44.9,6,Highly Recommended
Mushroom Mycelium,23.8,10.0,100.0,0.21,100.0,5,Highly Recommended
Aluminum Foil,36.9,1.0,0.0,9.48,98.5,10,Avoid
Bagasse (Sugarcane),28.1,4.0,95.2,1.21,57.5,5,Highly Recommended
Mushroom Mycelium,15.7,3.2,100.0,0.27,100.0,6,Highly Recommended
Edible Seaweed Film,11.8,6.3,100.0,0.29,9.7,2,Consider as Option
Recycled Cardboard,21.8,8.1,90.8,1.48,89.8,3,Highly Recommended
Bagasse (Sugarcane),31.4,3.9,98.0,1.12,58.5,5,Highly Recommended
Bagasse (Sugarcane),34.2,4.0,95.2,1.34,61.9,6,Highly Recommended
Bagasse (Sugarcane),34.8,3.5,96.9,1.12,65.7,7,Highly Recommended
Bagasse (Sugarcane),26.1,10.0,97.3,1.17,54.3,5,Highly Recommended
Bamboo Fiber,50.8,4.4,97.0,0.79,35.6,7,Highly Recommended
Recycled Cardboard,27.1,9.3,98.9,1.16,82.1,5,Highly Recommended
Bamboo Fiber,57.1,8.5,99.9,1.0,40.0,7,Highly Recommended
Aluminum Foil,42.1,3.1,0.0,8.92,98.6,10,Avoid
Aluminum Foil,34.7,4.0,0.0,10.41,95.5,10,Avoid
Mushroom Mycelium,16.8,5.9,100.0,0.19,100.0,4,Highly Recommended
Recycled Cardboard,30.7,6.3,100.0,1.22,92.7,4,Highly Recommended
Edible Seaweed Film,9.5,8.9,100.0,0.5,7.0,2,Consider as Option
Bioplastic (PLA),64.4,4.4,91.0,2.34,48.5,9,Highly Recommended
Mushroom Mycelium,10.1,6.2,100.0,0.14,100.0,4,Highly Recommended
Aluminum Foil,38.1,8.2,0.0,8.1,92.7,10,Avoid
Bagasse (Sugarcane),36.7,6.3,98.6,1.11,63.1,6,Highly Recommended
Virgin Plastic (PP),62.5,6.6,3.6,3.8,29.9,10,Avoid
Bioplastic (PLA),66.9,7.1,88.7,1.63,50.5,9,Highly Recommended
Mushroom Mycelium,13.2,4.5,100.0,0.39,100.0,5,Highly Recommended
Bamboo Fiber,55.7,8.5,97.8,0.82,46.4,6,Highly Recommended
Mushroom Mycelium,13.7,5.5,100.0,0.15,100.0,4,Highly Recommended
Recycled Cardboard,24.6,8.4,94.0,1.33,94.0,3,Highly Recommended
Bioplastic (PLA),56.3,4.0,87.9,2.38,49.9,8,Consider as Option
Virgin Plastic (PP),79.4,5.9,2.6,4.9,13.8,10,Avoid
Mushroom Mycelium,19.8,6.7,100.0,0.1,100.0,5,Highly Recommended
Bagasse (Sugarcane),20.9,5.1,97.3,1.31,63.7,5,Highly Recommended
Mushroom Mycelium,19.1,3.1,100.0,0.32,100.0,5,Highly Recommended
Bamboo Fiber,40.2,4.5,96.3,0.55,36.3,6,Highly Recommended
Virgin Plastic (PP),76.8,2.5,3.6,5.53,29.4,10,Avoid
Aluminum Foil,33.5,3.5,0.0,10.51,91.4,10,Avoid
Bioplastic (PLA),54.1,9.4,89.6,1.97,59.2,9,Highly Recommended
Mushroom Mycelium,21.5,5.2,100.0,0.31,100.0,5,Highly Recommended
Recycled Cardboard,30.1,7.9,91.8,1.02,84.6,5,Highly Recommended
Aluminum Foil,34.2,9.4,0.0,9.96,96.9,10,Avoid
Bamboo Fiber,56.1,9.9,98.7,0.83,35.2,7,Highly Recommended
Bagasse (Sugarcane),29.9,7.7,99.1,1.17,69.7,6,Highly Recommended
Bioplastic (PLA),72.1,0.5,81.8,1.79,48.5,9,Highly Recommended
Mushroom Mycelium,16.3,7.5,100.0,0.38,100.0,6,Highly Recommended
Virgin Plastic (PP),65.3,9.9,0.1,5.63,27.9,10,Avoid
Bagasse (Sugarcane),25.3,6.7,98.7,1.15,54.1,6,Highly Recommended
Aluminum Foil,36.9,1.0,0.0,9.48,98.5,10,Avoid
Aluminum Foil,40.6,3.6,0.0,8.62,95.5,10,Avoid
Aluminum Foil,28.5,5.4,0.0,11.77,99.5,10,Avoid
Bioplastic (PLA),61.1,9.9,89.9,2.08,52.3,8,Highly Recommended
Edible Seaweed Film,9.9,1.3,100.0,0.32,9.8,4,Consider as Option
Bioplastic (PLA),57.1,8.0,83.8,1.58,45.9,8,Highly Recommended
Mushroom Mycelium,22.0,4.2,100.0,0.22,100.0,5,Highly Recommended
Bamboo Fiber,42.9,7.2,95.7,1.06,36.5,8,Highly Recommended
Bamboo Fiber,44.9,1.6,99.2,0.74,38.9,7,Highly Recommended
Bamboo Fiber,58.1,2.7,99.5,0.94,47.8,6,Highly Recommended
Recycled Cardboard,33.6,1.6,96.8,1.04,89.8,5,Highly Recommended
Recycled Cardboard,22.4,3.3,95.3,1.23,95.2,5,Highly Recommended
Edible Seaweed Film,9.4,9.3,100.0,0.57,8.9,4,Consider as Option
Bamboo Fiber,47.3,9.5,99.1,1.05,44.5,7,Highly Recommended
Aluminum Foil,33.1,3.3,0.0,11.36,92.8,10,Avoid
Bagasse (Sugarcane),39.7,4.5,97.9,1.04,59.2,6,Highly Recommended
Edible Seaweed Film,5.4,4.5,100.0,0.6,0.7,4,Consider as Option
Bagasse (Sugarcane),29.4,7.8,96.2,0.99,58.1,6,Highly Recommended
Bioplastic (PLA),71.1,7.9,87.8,1.66,45.4,8,Highly Recommended
Mushroom Mycelium,24.8,4.6,100.0,0.36,100.0,4,Highly Recommended
Bagasse (Sugarcane),22.2,6.1,97.4,0.91,56.1,7,Highly Recommended
Bamboo Fiber,53.4,6.1,100.0,1.07,35.9,6,Highly Recommended
Mushroom Mycelium,17.2,2.1,100.0,0.16,100.0,4,Highly Recommended
Bioplastic (PLA),60.4,9.3,85.3,1.92,58.1,9,Highly Recommended
Mushroom Mycelium,18.8,2.2,100.0,0.39,100.0,6,Highly Recommended
Edible Seaweed Film,9.3,9.6,100.0,0.4,7.3,3,Consider as Option
Bamboo Fiber,47.2,2.6,99.4,0.6,47.6,6,Highly Recommended
Virgin Plastic (PP),69.9,9.4,2.5,5.72,24.3,10,Avoid
Bioplastic (PLA),50.5,8.7,81.4,2.17,40.0,8,Consider as Option
Virgin Plastic (PP),76.5,3.3,2.0,4.68,25.9,10,Avoid
Virgin Plastic (PP),64.0,6.3,0.6,4.49,18.6,10,Avoid
Bamboo Fiber,48.9,3.5,98.5,1.0,47.9,6,Highly Recommended
Recycled Cardboard,15.3,9.8,99.9,1.05,96.8,4,Highly Recommended
Bioplastic (PLA),74.2,3.3,88.8,2.26,58.9,8,Highly Recommended
Aluminum Foil,35.3,7.9,0.0,10.5,90.7,10,Avoid
Virgin Plastic (PP),64.9,4.5,1.4,5.84,11.0,10,Avoid
Bamboo Fiber,55.1,0.5,95.9,1.08,40.3,6,Highly Recommended
Virgin Plastic (PP),80.8,8.3,1.4,5.6,21.0,10,Avoid
Bioplastic (PLA),59.1,4.1,81.3,2.36,59.6,9,Highly Recommended
Edible Seaweed Film,6.2,6.9,100.0,0.5,2.2,4,Consider as Option
Bamboo Fiber,59.5,3.2,98.8,0.98,39.0,6,Highly Recommended
Bamboo Fiber,44.9,5.3,95.5,1.09,36.6,8,Highly Recommended
Mushroom Mycelium,12.1,6.2,100.0,0.35,100.0,4,Highly Recommended
Recycled Cardboard,20.3,6.3,93.9,1.23,98.5,4,Highly Recommended
Bioplastic (PLA),58.5,6.9,81.6,1.71,48.5,9,Highly Recommended
Bagasse (Sugarcane),24.0,8.9,99.2,1.13,51.9,7,Highly Recommended
Mushroom Mycelium,16.5,9.7,100.0,0.21,100.0,4,Highly Recommended
Bagasse (Sugarcane),32.2,8.1,98.2,1.14,61.2,5,Highly Recommended
Edible Seaweed Film,14.0,9.5,100.0,0.25,6.3,4,Consider as Option
Virgin Plastic (PP),71.6,1.5,4.0,5.7,13.6,10,Avoid
Bioplastic (PLA),69.1,9.0,84.7,2.44,43.2,9,Consider as Option
Virgin Plastic (PP),77.4,2.0,2.1,3.51,21.7,10,Avoid
Recycled Cardboard,29.4,9.8,91.9,1.0,98.4,4,Highly Recommended
Bamboo Fiber,58.1,2.7,99.5,0.94,47.8,6,Highly Recommended
Bioplastic (PLA),55.2,7.5,89.9,2.22,48.2,9,Highly Recommended
Bagasse (Sugarcane),25.1,6.2,99.4,1.38,68.8,6,Highly Recommended
Bagasse (Sugarcane),37.3,2.3,97.2,1.0,53.6,5,Highly Recommended
Bagasse (Sugarcane),38.7,7.7,98.7,1.1,69.7,5,Highly Recommended
Virgin Plastic (PP),89.9,8.3,4.5,4.98,26.3,10,Avoid
Mushroom Mycelium,17.5,2.3,100.0,0.24,100.0,4,Highly Recommended
Virgin Plastic (PP),86.0,4.8,0.8,3.6,10.2,10,Avoid
Recycled Cardboard,22.3,1.8,97.5,1.12,82.9,4,Highly Recommended
Aluminum Foil,38.3,3.3,0.0,8.83,97.4,10,Avoid
Mushroom Mycelium,25.0,4.3,100.0,0.25,100.0,6,Highly Recommended
Bioplastic (PLA),63.7,7.9,89.5,1.63,58.9,8,Highly Recommended
Mushroom Mycelium,14.1,0.9,100.0,0.12,100.0,4,Highly Recommended
Edible Seaweed Film,5.1,2.9,100.0,0.21,2.7,2,Consider as Option
Virgin Plastic (PP),73.8,8.9,4.4,4.91,29.7,10,Avoid
Bioplastic (PLA),71.3,8.4,91.8,2.42,57.9,8,Highly Recommended
Mushroom Mycelium,16.3,7.5,100.0,0.38,100.0,6,Highly Recommended
Virgin Plastic (PP),65.1,7.2,4.6,4.58,14.5,10,Avoid
Bagasse (Sugarcane),27.6,9.5,95.1,1.18,65.1,6,Highly Recommended
Bagasse (Sugarcane),39.6,2.0,99.9,1.15,52.5,7,Highly Recommended
Bioplastic (PLA),58.6,2.7,81.4,1.63,43.8,8,Consider as Option
Bagasse (Sugarcane),38.0,1.9,95.4,1.09,57.6,5,Highly Recommended
Bagasse (Sugarcane),36.2,3.5,98.9,1.07,68.0,7,Highly Recommended
Virgin Plastic (PP),62.0,3.7,3.3,4.7,15.7,10,Avoid
Virgin Plastic (PP),65.4,1.5,0.9,5.56,20.9,10,Avoid
Bagasse (Sugarcane),39.6,2.0,99.9,1.15,52.5,7,Highly Recommended
Bagasse (Sugarcane),24.2,3.6,99.8,1.38,69.0,6,Highly Recommended
Bamboo Fiber,50.7,9.3,95.3,1.18,30.2,8,Highly Recommended
Mushroom Mycelium,11.7,7.6,100.0,0.18,100.0,6,Highly Recommended
Bamboo Fiber,40.2,4.5,96.3,0.55,36.3,6,Highly Recommended
Recycled Cardboard,20.5,9.2,98.3,0.97,93.4,5,Highly Recommended
Mushroom Mycelium,18.0,9.2,100.0,0.17,100.0,6,Highly Recommended
Bioplastic (PLA),66.3,1.7,84.9,2.16,50.8,8,Consider as Option
Bagasse (Sugarcane),29.6,4.2,98.0,1.08,50.4,7,Highly Recommended
Edible Seaweed Film,12.2,2.9,100.0,0.34,2.7,4,Consider as Option
Bioplastic (PLA),72.7,2.3,82.8,2.46,59.3,8,Consider as Option
Bioplastic (PLA),65.0,9.4,83.4,1.64,40.5,8,Consider as Option
Edible Seaweed Film,9.7,4.2,100.0,0.6,2.1,4,Consider as Option
Recycled Cardboard,25.6,3.3,97.0,0.94,83.8,5,Highly Recommended
Mushroom Mycelium,18.3,1.1,100.0,0.22,100.0,5,Highly Recommended
Mushroom Mycelium,11.1,2.3,100.0,0.18,100.0,4,Highly Recommended
Bamboo Fiber,46.4,5.3,99.4,0.51,48.3,8,Highly Recommended
Aluminum Foil,42.7,0.7,0.0,11.61,91.3,10,Avoid
Mushroom Mycelium,16.0,8.1,100.0,0.13,100.0,6,Highly Recommended
Virgin Plastic (PP),64.1,2.0,1.5,5.07,23.9,10,Avoid
Aluminum Foil,39.8,2.4,0.0,10.29,90.5,10,Avoid
Virgin Plastic (PP),60.6,2.9,0.6,4.36,24.5,10,Avoid
Virgin Plastic (PP),67.0,1.5,3.5,3.7,10.7,10,Avoid
Bioplastic (PLA),62.2,1.7,92.2,2.11,50.2,9,Highly Recommended
Aluminum Foil,28.8,5.0,0.0,11.43,95.3,10,Avoid
Recycled Cardboard,34.7,8.5,99.2,0.97,90.6,3,Highly Recommended
Virgin Plastic (PP),63.7,8.3,4.1,3.86,15.0,10,Avoid
Bioplastic (PLA),61.1,9.9,89.9,2.08,52.3,8,Highly Recommended
Bioplastic (PLA),65.1,7.5,93.8,2.07,58.5,8,Highly Recommended
Bagasse (Sugarcane),29.5,8.6,98.8,1.07,57.0,7,Highly Recommended
Aluminum Foil,21.2,8.8,0.0,8.6,91.3,10,Avoid
Edible Seaweed Film,8.2,8.3,100.0,0.23,8.0,3,Consider as Option
Bioplastic (PLA),55.8,3.9,91.3,1.53,49.9,8,Highly Recommended
Edible Seaweed Film,8.9,2.5,100.0,0.31,3.2,2,Consider as Option
Bioplastic (PLA),71.7,6.2,88.2,2.4,49.3,8,Consider as Option
Virgin Plastic (PP),63.5,9.6,0.9,5.25,12.5,10,Avoid
Bioplastic (PLA),64.4,4.4,91.0,2.34,48.5,9,Highly Recommended
Recycled Cardboard,31.2,5.7,95.6,1.17,86.1,4,Highly Recommended
Aluminum Foil,21.7,3.6,0.0,8.33,93.7,10,Avoid
Edible Seaweed Film,11.1,8.8,100.0,0.27,9.1,3,Consider as Option
Aluminum Foil,26.9,7.5,0.0,11.54,99.5,10,Avoid
Edible Seaweed Film,9.7,2.2,100.0,0.5,9.4,2,Consider as Option
Bamboo Fiber,44.9,5.3,95.5,1.09,36.6,8,Highly Recommended
Bagasse (Sugarcane),36.8,2.1,96.6,1.1,65.2,7,Highly Recommended
Virgin Plastic (PP),80.0,2.4,3.7,4.72,10.8,10,Avoid
Aluminum Foil,26.7,8.7,0.0,10.35,91.8,10,Avoid
Aluminum Foil,25.6,9.7,0.0,8.79,97.1,10,Avoid
Bamboo Fiber,56.6,8.2,97.1,0.51,32.3,7,Highly Recommended
Bioplastic (PLA),53.4,0.5,84.9,1.58,45.6,8,Highly Recommended
Bagasse (Sugarcane),29.3,7.0,96.5,1.08,59.9,6,Highly Recommended
Mushroom Mycelium,22.6,9.3,100.0,0.27,100.0,4,Highly Recommended
Bioplastic (PLA),57.5,4.9,83.7,1.61,53.8,9,Highly Recommended
Aluminum Foil,35.0,7.5,0.0,8.15,94.7,10,Avoid
Virgin Plastic (PP),76.1,8.2,1.1,5.84,24.2,10,Avoid
Aluminum Foil,20.5,8.4,0.0,11.92,98.1,10,Avoid
Edible Seaweed Film,10.9,4.8,100.0,0.45,0.1,2,Consider as Option
Recycled Cardboard,24.2,3.6,96.0,1.18,84.8,3,Highly Recommended
Bagasse (Sugarcane),30.5,8.4,96.6,1.24,59.7,5,Highly Recommended
Bamboo Fiber,57.4,9.1,99.7,0.94,44.9,8,Highly Recommended
Bagasse (Sugarcane),34.8,9.7,97.4,1.28,55.3,6,Highly Recommended
Edible Seaweed Film,5.4,8.2,100.0,0.52,8.1,2,Consider as Option
Edible Seaweed Film,7.4,4.6,100.0,0.58,5.8,3,Consider as Option
Bamboo Fiber,50.6,1.0,96.6,0.67,44.7,7,Highly Recommended
Bioplastic (PLA),65.2,8.7,85.8,2.27,42.2,8,Consider as Option
Aluminum Foil,32.4,9.1,0.0,10.19,99.9,10,Avoid
Aluminum Foil,31.8,8.2,0.0,8.64,97.2,10,Avoid
Mushroom Mycelium,13.5,2.8,100.0,0.37,100.0,4,Highly Recommended
Recycled Cardboard,17.9,8.6,96.1,0.88,99.3,4,Highly Recommended
Bamboo Fiber,58.7,8.0,97.2,0.91,40.3,8,Highly Recommended
Bioplastic (PLA),51.0,0.9,91.4,1.62,54.4,8,Highly Recommended
Bagasse (Sugarcane),37.8,7.4,96.6,1.02,51.5,7,Highly Recommended
Recycled Cardboard,30.8,4.9,91.6,0.94,85.3,3,Highly Recommended
Aluminum Foil,37.5,2.0,0.0,11.48,99.7,10,Avoid
Recycled Cardboard,15.8,9.6,94.3,1.13,86.4,4,Highly Recommended
Bamboo Fiber,40.3,0.8,95.2,0.76,43.2,8,Highly Recommended
Bagasse (Sugarcane),25.4,4.2,97.8,0.95,50.6,6,Highly Recommended
Edible Seaweed Film,11.0,6.3,100.0,0.49,9.3,2,Consider as Option
Bamboo Fiber,42.2,7.7,95.7,1.07,31.0,6,Highly Recommended
Bamboo Fiber,53.2,2.7,97.9,0.6,41.3,6,Highly Recommended
Bagasse (Sugarcane),26.0,5.6,99.6,1.3,62.2,7,Highly Recommended
Mushroom Mycelium,13.4,8.0,100.0,0.14,100.0,5,Highly Recommended
Bioplastic (PLA),73.2,5.6,90.8,2.11,56.5,8,Highly Recommended
Edible Seaweed Film,12.8,5.4,100.0,0.39,0.9,3,Consider as Option
Bamboo Fiber,42.8,7.0,97.9,1.18,45.1,8,Highly Recommended
Bamboo Fiber,42.2,7.7,95.7,1.07,31.0,6,Highly Recommended
Bioplastic (PLA),58.1,5.1,90.2,1.64,46.9,8,Highly Recommended
Bagasse (Sugarcane),36.3,1.9,98.1,1.29,55.2,7,Highly Recommended
