material_type,strength,weight_capacity,biodegradability_score,recyclability_percent,co2_emission_score,product_category,typical_weight,fragility_level,shape,material,recycling,weight,co2_impact_index,cost,cost_efficiency_index,material_suitability_score,final_sustainability_index
Bamboo Fiber,72,28,38,98,10.59,Stationery,2.72,High,box,paper,compost,19.86,0.08628127696289906,43.3,0.022573363431151242,40.4,40.50885464039405
Mushroom Packaging,87,28,89,70,19.97,Stationery,1.23,Low,box,paper,compost,25.38,0.047687172150691466,55.56,0.01768033946251768,49.5,49.5653675116132
Bamboo Fiber,83,12,80,67,20.41,Electronics,2.89,Medium,can,glass,reuse,22,0.046707146193367584,50.23,0.01951981260979895,50.699999999999996,50.766226958803166
Bamboo Fiber,72,28,38,98,10.59,Stationery,2.72,High,bottle,paper,reuse,20.13,0.08628127696289906,41.32,0.023629489603024575,40.4,40.50991076656592
Hemp Fiber,83,16,71,89,30.61,Food,2.22,Medium,box,paper,recycle,15.37,0.03163555836760519,40.9,0.02386634844868735,52.10000000000001,52.1555019068163
Cassava Biopolymer,70,20,84,95,9.23,Food,0.86,Low,box,plastic,reuse,14.51,0.09775171065493646,35.25,0.027586206896551724,50.8,50.92533791755149
Biodegradable Foam,50,4,31,73,10.12,Healthcare,1.47,High,bottle,paper,recycle,20.91,0.08992805755395684,25.96,0.037091988130563795,34.599999999999994,34.72702004568451
Recycled HDPE,78,27,58,91,9.77,Healthcare,0.11,Medium,box,paper,compost,19.71,0.09285051067780874,44.45,0.022002200220022,45.1,45.21485271089783
Eco-Foam Starch,48,17,84,99,21.06,Clothing,1.06,Medium,box,glass,recycle,24.26,0.04533091568449683,31.23,0.031026993484331366,45.9,45.976357909168826
Mushroom Packaging,42,9,68,85,5.46,Fragile Goods,1.45,Low,pouch,glass,reuse,22.2,0.15479876160990713,26.48,0.036390101892285295,40.5,40.6911888635022
Coconut Coir,72,24,97,56,30.23,Stationery,0.6,Medium,bottle,plastic,compost,16.28,0.03202049311559398,52.9,0.01855287569573284,45,45.05057336881133
Cassava Biopolymer,70,20,84,95,9.23,Food,0.86,Low,box,plastic,recycle,21.28,0.09775171065493646,37.96,0.02566735112936345,50.8,50.9234190617843
Sugarcane Bagasse,47,22,77,87,29.73,Home Decor,2.15,High,box,glass,recycle,20.45,0.03254149040026033,40.03,0.024372410431391663,40.300000000000004,40.35691390083166
Areca Leaf Sheath,53,9,86,83,32.11,Healthcare,1.92,Medium,can,glass,recycle,11.68,0.030202355783751134,31.22,0.031036623215394167,46.99999999999999,47.061238978999135
Eco-Foam Starch,51,4,100,97,33.31,Industrial Parts,1.26,High,can,metal,compost,17.9,0.029146021568055958,34.39,0.02825656965244419,53.5,53.557402591220495
Coconut Coir,76,28,50,59,31.35,Fragile Goods,0.4,Medium,can,paper,recycle,20.3,0.030911901081916538,55.01,0.017853954650955187,36.199999999999996,36.24876585573286
Bamboo Fiber,94,29,97,44,32.82,Electronics,0.77,High,box,plastic,recycle,19.43,0.02956830277942046,59.61,0.01649892756970797,47.7,47.74606723034913
Wheat Straw Fiber,45,28,43,55,34.82,Stationery,2.98,Low,box,plastic,reuse,21.58,0.027917364600781685,41.77,0.02338087444470423,24.700000000000003,24.75129823904549
Areca Leaf Sheath,93,20,36,65,18.09,Fragile Goods,0.13,Medium,can,paper,recycle,20.39,0.05238344683080147,53.16,0.01846381093057607,42.1,42.17084725776138
Recycled HDPE,80,8,34,43,18.19,Clothing,0.81,Low,pouch,paper,compost,21.7,0.05211047420531526,45.55,0.021482277121374866,37,37.073592751326686
Recycled HDPE,77,19,42,55,21.28,Industrial Parts,2.86,Medium,pouch,plastic,reuse,20.83,0.04488330341113106,50.87,0.0192789666473877,36.8,36.864162270058515
Algae Bioplastic,95,24,85,62,16.33,Food,1.07,High,pouch,glass,compost,19.88,0.05770340450086556,56.15,0.017497812773403325,50.7,50.77520121727427
Palm Leaf Material,67,25,72,91,9.37,Beverages,1.43,Medium,pouch,glass,reuse,20.8,0.09643201542912247,40.12,0.024319066147859923,45.2,45.32075108157699
Coconut Coir,66,18,52,64,20.43,Stationery,2.76,Medium,bottle,paper,reuse,18.19,0.04666355576294914,40.5,0.024096385542168676,37.6,37.670759941305114
Algae Bioplastic,75,27,60,97,14.57,Stationery,2.24,High,can,plastic,recycle,17.92,0.06422607578676942,38.51,0.02531004808909137,45.800000000000004,45.889536123875864
Bamboo Fiber,94,29,97,44,32.82,Electronics,0.77,High,box,paper,compost,20.49,0.02956830277942046,60.84,0.016170763260025874,47.7,47.74573906603945
Wheat Straw Fiber,43,4,81,66,31.2,Beverages,0.9,High,can,glass,recycle,9.95,0.03105590062111801,32.39,0.029949086552860136,41.1,41.16100498717398
Bamboo Fiber,88,22,69,49,18.65,Electronics,0.53,Medium,pouch,metal,reuse,18.15,0.050890585241730284,55.11,0.017822135091783996,43.4,43.468712720333514
Cassava Biopolymer,71,28,89,61,16.55,Cosmetics,1.82,High,box,metal,recycle,16.47,0.05698005698005698,46.02,0.021267545725223307,42.900000000000006,42.97824760270529
Recycled PET Blend,82,12,64,89,17.87,Beverages,2.25,Low,bottle,glass,reuse,15.85,0.05299417064122946,40.11,0.024324981756263683,51.6,51.677319152397494
Wheat Straw Fiber,91,7,87,98,32.75,Toys,0.55,High,can,paper,reuse,18.42,0.02962962962962963,40.63,0.024021138601969732,62.20000000000001,62.25365076823161
Bamboo Fiber,83,12,80,67,20.41,Electronics,2.89,Medium,box,metal,compost,13.3,0.046707146193367584,41.89,0.023315458148752622,50.699999999999996,50.77002260434212
Paper Pulp Mold,84,19,96,100,13.19,Cosmetics,2.44,High,box,glass,compost,18.45,0.07047216349541931,41.48,0.02354048964218456,58.7,58.79401265313761
Hemp Fiber,83,8,64,46,31.99,Healthcare,2.75,Medium,pouch,plastic,compost,21.16,0.030312215822976666,48.07,0.02037905033625433,44.50000000000001,44.550691266159234
Paper Pulp Mold,64,12,65,53,5.48,Baby Products,2.88,Low,pouch,paper,compost,25.25,0.15432098765432098,36.72,0.026511134676564158,39.2,39.38083212233089
Palm Leaf Material,43,16,67,92,25.47,Baby Products,0.52,Medium,can,paper,recycle,31,0.037778617302606725,31.12,0.0311332503113325,39.900000000000006,39.96891186761395
Hemp Fiber,83,8,64,46,31.99,Healthcare,2.75,Medium,bottle,metal,compost,10.86,0.030312215822976666,49.58,0.019770660340055358,44.50000000000001,44.55008287616304
Cassava Biopolymer,73,17,40,59,5.52,Fragile Goods,1.31,Medium,box,paper,compost,15.33,0.15337423312883436,47.4,0.02066115702479339,36.6,36.77403539015363
Algae Bioplastic,63,27,75,84,17.29,Fragile Goods,2.91,Medium,pouch,metal,compost,18.45,0.05467468562055768,45.49,0.021510002151000213,42.6,42.67618468777155
Areca Leaf Sheath,50,5,49,49,28.07,Beverages,2.21,Medium,can,metal,reuse,20.69,0.03439972480220158,31.37,0.030892801977139322,33.1,33.16529252677934
Recycled Paper,48,25,89,56,30.39,Industrial Parts,0.73,High,pouch,glass,reuse,21.82,0.03185727938834024,40.93,0.023849272597185785,35.900000000000006,35.95570655198553
Palm Leaf Material,50,17,100,90,33.2,Beverages,0.65,High,can,metal,compost,16.95,0.029239766081871343,35.37,0.027495188342040146,47.9,47.95673495442391
Palm Leaf Material,76,25,91,81,20.52,Electronics,0.52,High,pouch,plastic,reuse,7.36,0.04646840148698885,47.69,0.020538098172109262,49.7,49.767006499659104
Sugarcane Bagasse,93,5,63,68,28.67,Electronics,2.59,High,bottle,paper,reuse,25.17,0.033704078193461405,46.21,0.021181952976064393,52.6,52.654886031169525
Recycled Paper,79,10,33,79,22.52,Baby Products,0.46,High,box,metal,recycle,22.51,0.04251700680272109,51.71,0.01897173211914248,43.1,43.16148873892186
Hemp Fiber,75,10,51,58,15.69,Stationery,2.28,High,pouch,paper,reuse,23.57,0.05991611743559018,44.18,0.02213368747233289,41.300000000000004,41.38204980490793
Paper Pulp Mold,64,12,65,53,5.48,Baby Products,2.88,Low,box,metal,recycle,18.93,0.15432098765432098,43.55,0.022446689113355782,39.2,39.376767676767685
Bamboo Fiber,88,22,69,49,18.65,Electronics,0.53,Medium,can,glass,reuse,21.76,0.050890585241730284,57.33,0.017143836790673755,43.4,43.4680344220324
Sugarcane Bagasse,94,4,34,57,13.32,Beverages,2.38,Medium,bottle,plastic,compost,10,0.06983240223463687,47.09,0.020794343938448742,45.199999999999996,45.29062674617308
Bamboo Fiber,52,12,100,82,34.64,Baby Products,0.37,Medium,box,paper,reuse,14.65,0.028058361391694726,32.72,0.02965599051008304,48.4,48.45771435190178
Hemp Fiber,83,16,71,89,30.61,Food,2.22,Medium,pouch,glass,reuse,25.97,0.03163555836760519,45.44,0.02153316106804479,52.10000000000001,52.153168719435655
Paper Pulp Mold,69,11,67,66,10.33,Beverages,2.23,Low,box,paper,recycle,20.15,0.088261253309797,36.71,0.026518164942985943,44.00000000000001,44.11477941825279
Coconut Coir,91,24,87,73,27.86,Stationery,1.12,High,box,glass,compost,29.35,0.03465003465003465,51.78,0.018946570670708603,52.10000000000001,52.15359660532075
Areca Leaf Sheath,90,19,47,46,26.21,Healthcare,2.05,Medium,can,plastic,recycle,15.13,0.036751194413818446,53.46,0.01836210062431142,39.9,39.955113295038124
Coconut Coir,76,28,50,59,31.35,Fragile Goods,0.4,Medium,bottle,metal,compost,32.76,0.030911901081916538,53.38,0.018389113644722323,36.199999999999996,36.24930101472663
Paper Pulp Mold,82,19,64,95,18.84,Industrial Parts,2.09,Low,bottle,glass,compost,33.48,0.05040322580645162,48.93,0.02002803925495694,50.699999999999996,50.770431265061404
Recycled HDPE,67,14,66,64,34.49,Cosmetics,1.31,Low,box,paper,recycle,16.78,0.02817695125387433,37.15,0.026212319790301444,41.89999999999999,41.95438927104417
Recycled Paper,79,10,33,79,22.52,Baby Products,0.46,High,box,paper,reuse,17.73,0.04251700680272109,42.21,0.023142791020597082,43.1,43.16565979782332
Palm Leaf Material,43,16,67,92,25.47,Baby Products,0.52,Medium,can,glass,compost,26.26,0.037778617302606725,25.21,0.03815337657382678,39.900000000000006,39.975931993876436
Recycled Paper,47,27,80,98,17.97,Cosmetics,1.83,Medium,box,plastic,reuse,17.19,0.05271481286241434,33.38,0.029086678301337984,41.6,41.68180149116375
Wheat Straw Fiber,59,12,54,99,22.02,Electronics,2.56,High,can,plastic,recycle,18.67,0.043440486533449174,34.37,0.028272547356516825,44.699999999999996,44.77171303388996
Biodegradable Foam,69,9,79,44,13.62,Home Decor,1.16,Medium,bottle,metal,recycle,16.33,0.06839945280437756,42.95,0.022753128555176336,42.599999999999994,42.691152581359546
Recycled HDPE,78,27,58,91,9.77,Healthcare,0.11,Medium,bottle,metal,recycle,16.47,0.09285051067780874,41.44,0.023562676720075403,45.1,45.21641318739788
Jute Fiber,94,12,89,99,30.35,Toys,0.63,High,can,paper,recycle,20.59,0.03189792663476874,40.29,0.024218939210462583,62.199999999999996,62.25611686584523
Eco-Foam Starch,65,21,47,84,13.57,Healthcare,0.35,High,box,paper,compost,18.63,0.06863417982155114,41.6,0.023474178403755867,39.400000000000006,39.49210835822531
Hemp Fiber,75,17,59,88,18.54,Clothing,1.84,Low,bottle,metal,recycle,9.55,0.0511770726714432,38.06,0.02560163850486431,46.8,46.87677871117631
Wheat Straw Fiber,80,19,86,99,8.62,Beverages,1.93,Medium,pouch,metal,reuse,27.21,0.10395010395010396,40.21,0.02426595486532395,55.3,55.42821605881542
Bamboo Fiber,72,28,38,98,10.59,Stationery,2.72,High,can,metal,reuse,28,0.08628127696289906,42.2,0.023148148148148147,40.4,40.509429425111044
Eco-Foam Starch,48,23,93,66,21.89,Home Decor,0.89,High,bottle,glass,compost,22.56,0.043687199650502405,37.93,0.025687130747495505,39.300000000000004,39.369374330397996
Paper Pulp Mold,69,11,67,66,10.33,Beverages,2.23,Low,bottle,metal,recycle,20.63,0.088261253309797,45.46,0.02152389151958674,44.00000000000001,44.10978514482939
Biodegradable Foam,66,22,62,78,20.3,Electronics,1.96,High,bottle,glass,compost,15.32,0.046948356807511735,44.13,0.022158209616662972,41.2,41.26910656642418
Sugarcane Bagasse,94,4,34,57,13.32,Beverages,2.38,Medium,pouch,glass,compost,17.69,0.06983240223463687,39.06,0.02496255616575137,45.199999999999996,45.29479495840039
Recycled Paper,79,10,33,79,22.52,Baby Products,0.46,High,pouch,metal,compost,25.45,0.04251700680272109,40.71,0.02397506593143131,43.1,43.16649207273415
Recycled PET Blend,46,4,72,73,34.68,Healthcare,1.24,Low,pouch,plastic,recycle,22.99,0.028026905829596414,27.68,0.03486750348675035,41.599999999999994,41.662894409316344
Jute Fiber,81,22,46,91,22.42,Food,2.35,High,box,plastic,reuse,22.28,0.04269854824935952,46.9,0.020876826722338204,45.1,45.1635753749717
Palm Leaf Material,46,16,72,68,19.3,Baby Products,2.65,High,can,paper,reuse,22.49,0.04926108374384236,32.75,0.02962962962962963,37,37.078890713373475
Recycled Paper,47,27,80,98,17.97,Cosmetics,1.83,Medium,box,metal,compost,25.31,0.05271481286241434,34.45,0.028208744710860365,41.6,41.68092355757327
Recycled Paper,42,9,57,94,10.58,Clothing,2.69,High,pouch,paper,compost,24.56,0.08635578583765112,25.87,0.03721622627465575,40.099999999999994,40.22357201211231
Eco-Foam Starch,65,21,47,84,13.57,Healthcare,0.35,High,can,metal,reuse,23.45,0.06863417982155114,42.15,0.023174971031286212,39.400000000000006,39.491809150852845
Bamboo Fiber,95,11,37,62,13.23,Clothing,1.24,Low,box,paper,reuse,18.26,0.07027406886858749,44.32,0.02206531332744925,45,45.09233938219604
Areca Leaf Sheath,41,5,33,47,15.06,Toys,0.98,Medium,box,glass,recycle,28.42,0.062266500622665,30.9,0.031347962382445145,26.799999999999997,26.893614463005107
Biodegradable Foam,95,20,91,97,9.21,Healthcare,2.3,Low,box,metal,compost,17.58,0.0979431929480901,43.6,0.02242152466367713,60.10000000000001,60.22036471761177
Paper Pulp Mold,40,15,88,73,20.45,Clothing,1.55,Low,pouch,plastic,recycle,15.66,0.046620046620046623,29.99,0.032268473701193935,39.7,39.778888520321246
Jute Fiber,94,18,56,72,15.32,Food,0.51,Medium,bottle,metal,reuse,17.18,0.061274509803921566,54.63,0.017975912277548085,48.4,48.47925042208147
Algae Bioplastic,63,27,75,84,17.29,Fragile Goods,2.91,Medium,can,paper,reuse,14.04,0.05467468562055768,43.54,0.0224517287831163,42.6,42.67712641440367
Palm Leaf Material,65,15,41,74,28.37,Baby Products,2.76,High,pouch,paper,reuse,22.92,0.034048348655090224,36.25,0.026845637583892617,38,38.06089398623898
Coconut Coir,80,16,81,84,14.52,Fragile Goods,2.46,Low,can,paper,reuse,19.93,0.06443298969072166,44.41,0.02202158114952654,52.2,52.28645457084025
Mushroom Packaging,49,11,71,53,14.68,Clothing,0.14,Medium,pouch,paper,recycle,25.64,0.06377551020408163,42.43,0.023025558369790467,36.2,36.28680106857387
Hemp Fiber,71,29,40,90,11.6,Electronics,0.37,Low,box,paper,reuse,7.77,0.07936507936507936,47.06,0.020807324178110695,38.599999999999994,38.700172403543185
Cassava Biopolymer,49,5,81,90,26.88,Toys,2.61,High,box,paper,compost,21.05,0.035868005738880916,22.33,0.042863266180882986,47.4,47.47873127191976
Jute Fiber,60,23,91,74,29.96,Food,2.41,Medium,bottle,plastic,reuse,18.72,0.03229974160206718,41.24,0.023674242424242424,44.1,44.15597398402631
Cassava Biopolymer,40,5,81,99,30.2,Cosmetics,2.42,Medium,bottle,paper,compost,18.27,0.032051282051282055,26.52,0.036337209302325583,46.5,46.56838849135361
Jute Fiber,65,26,37,65,6.27,Beverages,0.4,Medium,can,plastic,reuse,14.8,0.13755158184319122,43,0.022727272727272728,32.1,32.260278854570466
Bamboo Fiber,57,24,93,70,11.28,Clothing,0.45,High,bottle,metal,recycle,20.22,0.08143322475570033,42.56,0.02295684113865932,42.5,42.60439006589436
Recycled PET Blend,62,22,69,81,5.44,Baby Products,2.32,Medium,bottle,glass,compost,16.18,0.15527950310559005,41.27,0.02365744026496333,41.99999999999999,42.178936943370545
Coconut Coir,85,5,93,85,26.64,Electronics,0.99,Medium,can,plastic,recycle,27.6,0.0361794500723589,35.88,0.027114967462039043,59.6,59.6632944175344
Hemp Fiber,81,29,79,93,10.48,Cosmetics,1.48,Medium,pouch,metal,reuse,23.14,0.08710801393728222,46.07,0.021244954323348206,50,50.10835296826063
Biodegradable Foam,95,20,91,97,9.21,Healthcare,2.3,Low,bottle,glass,recycle,24.91,0.0979431929480901,35.3,0.027548209366391185,60.10000000000001,60.22549140231449
Eco-Foam Starch,79,19,93,99,28.61,Toys,0.36,High,pouch,plastic,reuse,11.3,0.033772374197906116,38.19,0.02551671344730799,56.39999999999999,56.45928908764521
Cassava Biopolymer,71,28,89,61,16.55,Cosmetics,1.82,High,box,plastic,recycle,24.43,0.05698005698005698,49,0.02,42.900000000000006,42.97698005698007
Paper Pulp Mold,94,4,56,71,27.17,Clothing,1.3,Medium,bottle,metal,recycle,23.96,0.03549875754348598,39.97,0.0244081034903588,52.4,52.45990686103384
Palm Leaf Material,43,16,67,92,25.47,Baby Products,0.52,Medium,box,paper,compost,17.97,0.037778617302606725,34.94,0.02782415136338342,39.900000000000006,39.965602768665995
Bamboo Fiber,93,4,49,48,20.48,Industrial Parts,0.43,Low,box,plastic,reuse,19.07,0.04655493482309125,43.06,0.022696323195642305,46.1,46.16925125801873
Recycled HDPE,52,27,46,96,6.73,Toys,2.45,Low,pouch,plastic,recycle,15.09,0.129366106080207,34.25,0.028368794326241134,35.9,36.057734900406444
Palm Leaf Material,53,16,35,99,28.47,Clothing,2.11,Low,can,metal,reuse,18.46,0.0339328130302002,32.34,0.029994001199760045,37.900000000000006,37.963926814229964
PLA Bioplastic,92,9,37,95,31.22,Cosmetics,1.43,Low,bottle,paper,compost,22.82,0.031036623215394167,45.55,0.021482277121374866,51.3,51.35251890033676
Algae Bioplastic,81,23,50,43,7.85,Fragile Goods,0.68,Low,pouch,glass,recycle,16.65,0.11299435028248588,48.68,0.020128824476650563,36,36.133123174759135
Areca Leaf Sheath,53,9,86,83,32.11,Healthcare,1.92,Medium,can,paper,reuse,20.18,0.030202355783751134,35.5,0.0273972602739726,46.99999999999999,47.057599616057715
Biodegradable Foam,50,4,31,73,10.12,Healthcare,1.47,High,box,paper,recycle,32.73,0.08992805755395684,28.44,0.033967391304347824,34.599999999999994,34.7238954488583
Cassava Biopolymer,49,5,81,90,26.88,Toys,2.61,High,bottle,metal,recycle,15.11,0.035868005738880916,23.94,0.040096230954290296,47.4,47.47596423669317
Areca Leaf Sheath,53,25,90,79,11.38,Clothing,2.36,High,box,paper,recycle,21.66,0.08077544426494346,40.12,0.024319066147859923,42.2,42.30509451041281
Hemp Fiber,55,11,78,98,25.18,Cosmetics,2.98,Medium,box,metal,recycle,14.83,0.03819709702062643,30.52,0.031725888324873094,48.400000000000006,48.469922985345505
Recycled Paper,79,10,33,79,22.52,Baby Products,0.46,High,bottle,glass,compost,12.57,0.04251700680272109,38.35,0.025412960609911054,43.1,43.16792996741263
Recycled HDPE,67,14,66,64,34.49,Cosmetics,1.31,Low,can,plastic,compost,24,0.02817695125387433,42.96,0.022747952684258416,41.89999999999999,41.95092490393812
Areca Leaf Sheath,90,19,47,46,26.21,Healthcare,2.05,Medium,can,plastic,reuse,17.97,0.036751194413818446,53.77,0.018258170531312762,39.9,39.95500936494513
Coconut Coir,66,18,52,64,20.43,Stationery,2.76,Medium,bottle,metal,reuse,28,0.04666355576294914,43.38,0.022532672374943667,37.6,37.66919622813789
Recycled Cardboard,40,5,76,50,28.84,Cosmetics,2.88,Low,bottle,metal,recycle,22.84,0.03351206434316354,34.37,0.028272547356516825,35.7,35.76178461169968
Recycled PET Blend,61,30,41,92,8.54,Stationery,0.76,Low,pouch,paper,recycle,16.07,0.10482180293501049,45.51,0.021500752526338422,35.900000000000006,36.026322555461356
Recycled Paper,79,10,33,79,22.52,Baby Products,0.46,High,pouch,paper,recycle,15.62,0.04251700680272109,36.44,0.02670940170940171,43.1,43.169226408512124
PLA Bioplastic,78,25,54,77,25.27,Baby Products,2.96,Low,box,plastic,compost,23.6,0.03806623524933384,54.43,0.018040772145047807,42.1,42.15610700739438
Hemp Fiber,75,17,59,88,18.54,Clothing,1.84,Low,bottle,plastic,recycle,14.74,0.0511770726714432,34.4,0.02824858757062147,46.8,46.87942566024206
Coconut Coir,46,20,98,86,32.17,Baby Products,0.88,Low,can,plastic,reuse,14.6,0.03014772384684956,34.36,0.02828054298642534,44.599999999999994,44.65842826683327
Recycled Cardboard,45,6,67,91,27.5,Electronics,1.48,Low,box,metal,recycle,11.4,0.03508771929824561,27.81,0.034710170079833395,43.3,43.36979788937808
Eco-Foam Starch,65,21,47,84,13.57,Healthcare,0.35,High,box,glass,compost,23.12,0.06863417982155114,40.4,0.024154589371980676,39.400000000000006,39.49278876919354
Recycled Cardboard,87,9,42,65,31.75,Fragile Goods,1.14,Low,box,glass,recycle,15.95,0.030534351145038167,43.91,0.022266755733689605,44.8,44.85280110687872
Algae Bioplastic,63,27,75,84,17.29,Fragile Goods,2.91,Medium,box,metal,compost,21.8,0.05467468562055768,41.7,0.023419203747072598,42.6,42.67809388936763
